gen,fitness
0,557
1,563
2,563
3,564
4,567
5,567
6,575
7,575
8,582
9,582
10,586
11,586
12,586
13,593
14,596
15,596
16,603
17,607
18,607
19,608
20,609
21,611
22,611
23,617
24,617
25,617
26,619
27,624
28,624
29,624
30,630
31,630
32,632
33,632
34,637
35,641
36,641
37,647
38,647
39,651
40,654
41,654
42,654
43,656
44,660
45,660
46,662
47,662
48,667
49,667
50,669
51,669
52,671
53,674
54,674
55,676
56,677
57,683
58,683
59,683
60,683
61,683
62,686
63,690
64,690
65,693
66,696
67,701
68,701
69,704
70,704
71,705
72,709
73,709
74,709
75,709
76,713
77,716
78,716
79,720
80,721
81,722
82,724
83,728
84,728
85,728
86,728
87,730
88,734
89,735
90,738
91,740
92,741
93,741
94,744
95,744
96,747
97,747
98,749
99,750
100,752
101,753
102,753
103,753
104,754
105,754
106,756
107,758
108,758
109,759
110,761
111,763
112,765
113,767
114,767
115,767
116,772
117,772
118,772
119,775
120,776
121,776
122,777
123,778
124,781
125,781
126,781
127,788
128,789
129,789
130,789
131,790
132,790
133,790
134,792
135,792
136,793
137,797
138,797
139,797
140,797
141,801
142,802
143,802
144,803
145,805
146,805
147,805
148,807
149,811
150,812
151,812
152,812
153,812
154,815
155,817
156,817
157,818
158,819
159,821
160,821
161,823
162,824
163,826
164,826
165,828
166,828
167,829
168,830
169,831
170,834
171,834
172,834
173,835
174,839
175,839
176,839
177,841
178,841
179,841
180,846
181,846
182,846
183,846
184,846
185,846
186,848
187,850
188,850
189,853
190,853
191,854
192,855
193,856
194,857
195,857
196,858
197,859
198,862
199,866
