gen,fitness,picos
0,562,1
1,562,0
2,562,0
3,562,0
4,569,0
5,569,0
6,570,0
7,572,0
8,575,0
9,584,0
10,585,0
11,585,0
12,587,0
13,596,0
14,596,0
15,596,0
16,596,0
17,601,0
18,602,0
19,602,0
20,604,0
21,605,0
22,610,0
23,611,0
24,611,0
25,614,0
26,621,0
27,627,0
28,627,0
29,627,0
30,629,0
31,630,0
32,630,0
33,631,0
34,632,0
35,634,0
36,643,0
37,643,0
38,643,0
39,646,0
40,648,0
41,648,0
42,656,0
43,656,0
44,657,0
45,657,0
46,663,0
47,664,0
48,664,0
49,664,0
50,664,0
51,670,0
52,670,0
53,674,0
54,674,0
55,677,0
56,681,0
57,681,0
58,683,0
59,683,0
60,684,0
61,684,0
62,688,0
63,690,0
64,690,0
65,693,0
66,698,0
67,698,0
68,699,0
69,700,0
70,708,0
71,708,0
72,716,0
73,716,0
74,716,0
75,716,0
76,716,0
77,716,0
78,722,0
79,722,0
80,722,0
81,722,0
82,724,0
83,726,0
84,726,0
85,731,0
86,732,0
87,733,0
88,735,0
89,735,0
90,738,0
91,739,0
92,739,0
93,744,0
94,744,0
95,744,0
96,744,0
97,744,0
98,747,0
99,747,0
100,751,0
101,751,0
102,751,0
103,754,0
104,754,0
105,756,0
106,756,0
107,757,0
108,760,0
109,760,0
110,762,0
111,762,0
112,763,0
113,766,0
114,769,0
115,769,0
116,770,0
117,771,0
118,773,0
119,773,0
120,773,0
121,775,0
122,777,0
123,777,0
124,778,0
125,778,0
126,781,0
127,781,0
128,782,0
129,784,0
130,786,0
131,787,0
132,792,0
133,792,0
134,793,0
135,793,0
136,796,0
137,796,0
138,798,0
139,798,0
140,800,0
141,800,0
142,800,0
143,802,0
144,802,0
145,805,0
146,805,0
147,806,0
148,807,0
149,808,0
150,808,0
151,811,0
152,811,0
153,813,0
154,814,0
155,817,0
156,818,0
157,819,0
158,819,0
159,820,0
160,821,0
161,822,0
162,822,0
163,823,0
164,825,0
165,825,0
166,829,0
167,834,0
168,834,0
169,834,0
170,834,0
171,834,0
172,835,0
173,837,0
174,837,0
175,838,0
176,841,0
177,841,0
178,841,0
179,843,0
180,846,0
181,846,0
182,847,0
183,849,0
184,849,0
185,850,0
186,850,0
187,852,0
188,856,0
189,856,0
190,856,0
191,856,0
192,856,0
193,857,0
194,860,0
195,860,0
196,862,0
197,862,0
198,864,0
199,864,0
