,Global Index,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop
0,5.5,"(48.829281, 2.529683)","(48.82981, 2.529898)",6.0,64.6,10.766666666666666,95.89415740966795,99.21493530273438,0.05140523054282385,5.140523054282385,0.05136002279640243,0,0
1,12.5,"(48.82981, 2.529898)","(48.83171, 2.532899)",27.5,305.5,11.10909090909091,99.21493530273438,96.4028091430664,-0.009204995612661108,-0.9204995612661108,-0.009204735640152806,0,0
2,23.5,"(48.83171, 2.532899)","(48.831869, 2.533575)",6.2,69.5,11.209677419354838,96.4028091430664,97.69644927978516,0.018613527147032374,1.8613527147032374,0.018611377958527662,0,0
3,31.5,"(48.831869, 2.533575)","(48.834255, 2.537805)",37.6,416.9,11.087765957446807,97.69644927978516,101.5514907836914,0.009246921333428281,0.9246921333428282,0.009246657792571085,0,0
4,40.5,"(48.834255, 2.537805)","(48.835347, 2.542416)",33.3,369.7,11.102102102102103,101.5514907836914,95.79701232910156,-0.015565264956964685,-1.5565264956964686,-0.015564008101976497,0,0
5,49.5,"(48.835347, 2.542416)","(48.835218, 2.543142)",6.0,64.9,10.816666666666668,95.79701232910156,96.59210968017578,0.01225111480853958,1.225111480853958,0.012250501941215203,0,0
6,65.5,"(48.835218, 2.543142)","(48.834909, 2.54689)",26.0,288.8,11.107692307692307,96.59210968017578,95.5289077758789,-0.0036814470370390407,-0.36814470370390406,-0.003681430405559557,0,0
7,71.5,"(48.834909, 2.54689)","(48.835258, 2.547412)",8.2,69.3,8.451219512195122,95.5289077758789,96.25340270996094,0.010454472353276064,1.0454472353276063,0.01045409150094159,0,0
8,77.5,"(48.835258, 2.547412)","(48.835777, 2.547429)",5.2,57.9,11.134615384615383,96.25340270996094,96.66896057128906,0.007177165135200778,0.7177165135200778,0.007177041903018552,0,0
9,91.5,"(48.835777, 2.547429)","(48.836249, 2.548796)",10.3,127.8,12.407766990291261,96.66896057128906,96.86652374267578,0.0015458777103812109,0.15458777103812107,0.0015458764789687944,0,0
10,99.5,"(48.836249, 2.548796)","(48.836291, 2.551156)",13.9,175.1,12.597122302158272,96.86652374267578,100.11620330810548,0.0185589923782393,1.85589923782393,0.018556862022226592,0,0
11,115.5,"(48.836291, 2.551156)","(48.834276, 2.586996)",107.9,2641.6,24.481927710843372,100.11620330810548,98.44145965576172,-0.0006339883602149319,-0.0633988360214932,-0.0006339882752729297,0,0
12,125.5,"(48.834276, 2.586996)","(48.831071, 2.604927)",55.9,1364.6,24.41144901610018,98.44145965576172,104.15624237060548,0.004187881221488909,0.4187881221488909,0.004187856738905553,0,0
13,133.5,"(48.831071, 2.604927)","(48.829813, 2.618571)",41.6,1013.7,24.367788461538463,104.15624237060548,111.5095672607422,0.007253945832235097,0.7253945832235097,0.00725381860269457,0,0
14,156.5,"(48.829813, 2.618571)","(48.832344, 2.658704)",121.2,2962.6,24.44389438943894,111.5095672607422,92.22843170166016,-0.006508180503301845,-0.6508180503301845,-0.006508088617908897,0,0
15,165.5,"(48.832344, 2.658704)","(48.831036, 2.686358)",83.3,2036.8,24.45138055222089,92.22843170166016,96.21614837646484,0.001957834188336944,0.1957834188336944,0.0019578316868083556,0,0
16,173.5,"(48.831036, 2.686358)","(48.829424, 2.713467)",80.1,1998.6,24.95131086142322,96.21614837646484,119.28932189941406,0.011544668029094976,1.1544668029094975,0.011544155181450489,0,0
17,192.5,"(48.829424, 2.713467)","(48.830716, 2.760135)",119.3,3442.5,28.8558256496228,119.28932189941406,125.92183685302734,0.0019266564861621731,0.19266564861621732,0.0019266541022478407,0,0
18,231.5,"(48.830716, 2.760135)","(48.845782, 2.830112)",192.4,5564.3,28.92047817047817,125.92183685302734,136.81735229492188,0.0019581107132783156,0.19581107132783157,0.0019581082106896294,0,0
19,237.5,"(48.845782, 2.830112)","(48.848227, 2.833136)",12.6,351.2,27.873015873015873,136.81735229492188,136.5226287841797,-0.0008391899508604427,-0.08391899508604428,-0.0008391897538635456,0,0
20,243.5,"(48.848227, 2.833136)","(48.852135, 2.837236)",26.8,528.9,19.73507462686567,136.5226287841797,138.83253479003906,0.00436737758717976,0.436737758717976,0.004367349819729783,0,0
21,249.5,"(48.852135, 2.837236)","(48.856637, 2.840986)",25.7,573.0,22.295719844357976,138.83253479003906,140.56686401367188,0.003026752571785013,0.3026752571785013,0.00302674332890919,0,0
22,255.5,"(48.856637, 2.840986)","(48.862506, 2.84674)",26.9,777.9,28.918215613382902,140.56686401367188,135.44183349609375,-0.006588289648512823,-0.6588289648512823,-0.006588194328193643,0,0
23,277.5,"(48.862506, 2.84674)","(48.872577, 2.865212)",61.3,1773.0,28.923327895595435,135.44183349609375,54.253849029541016,-0.04579130539568682,-4.579130539568682,-0.045759339866111456,0,0
24,290.5,"(48.872577, 2.865212)","(48.878405, 2.881985)",48.2,1392.0,28.879668049792528,54.253849029541016,79.55583190917969,0.018176711838820886,1.8176711838820885,0.01817471041699668,0,0
25,296.5,"(48.878405, 2.881985)","(48.882161, 2.889138)",23.3,671.3,28.81115879828326,79.55583190917969,72.22528076171875,-0.010919933185551822,-1.0919933185551822,-0.010919499167675394,0,0
26,309.5,"(48.882161, 2.889138)","(48.895386, 2.910389)",74.2,2144.5,28.901617250673855,72.22528076171875,117.3369140625,0.02103596796492481,2.103596796492481,0.021032865899448163,0,0
27,319.5,"(48.895386, 2.910389)","(48.89888, 2.91851)",24.5,713.3,29.114285714285714,117.3369140625,103.99089050292967,-0.018710253132721615,-1.8710253132721615,-0.01870807026948337,0,0
28,331.5,"(48.89888, 2.91851)","(48.902871, 2.931764)",37.0,1070.7,28.93783783783784,103.99089050292967,142.01271057128906,0.03551117966597496,3.551117966597496,0.035496263898067426,0,0
29,359.5,"(48.902871, 2.931764)","(48.912687, 2.970456)",106.7,3080.7,28.872539831302717,142.01271057128906,166.952880859375,0.008095617972566605,0.8095617972566604,0.008095441119870315,0,0
30,370.5,"(48.912687, 2.970456)","(48.917036, 2.98399)",38.4,1105.4,28.786458333333336,166.952880859375,162.83641052246094,-0.0037239644806532136,-0.37239644806532135,-0.0037239472662598926,0,0
31,388.5,"(48.917036, 2.98399)","(48.928155, 3.019168)",99.2,2865.4,28.885080645161292,162.83641052246094,175.46034240722656,0.004405643848944519,0.4405643848944519,0.004405615345204672,0,0
32,403.5,"(48.928155, 3.019168)","(48.937496, 3.029704)",45.4,1307.0,28.78854625550661,175.46034240722656,142.94976806640625,-0.02487419612916627,-2.487419612916627,-0.02486906793188423,0,0
33,413.5,"(48.937496, 3.029704)","(48.944167, 3.036836)",31.5,909.9,28.885714285714286,142.94976806640625,98.48246002197266,-0.048870544064659405,-4.887054406465941,-0.04883169339232691,0,0
34,426.5,"(48.944167, 3.036836)","(48.951626, 3.042913)",32.6,942.5,28.911042944785276,98.48246002197266,67.9072036743164,-0.03244059028929045,-3.244059028929045,-0.03242921739820457,0,0
35,432.5,"(48.951626, 3.042913)","(48.954017, 3.045795)",11.8,339.8,28.796610169491526,67.9072036743164,57.37775802612305,-0.030987185545006943,-3.098718554500694,-0.030977273231364514,0,0
36,439.5,"(48.954017, 3.045795)","(48.956985, 3.049414)",14.5,423.7,29.220689655172414,57.37775802612305,52.13470077514648,-0.01237445657535183,-1.2374456575351829,-0.012373825011515177,0,0
37,445.5,"(48.956985, 3.049414)","(48.959552, 3.051305)",10.9,317.6,29.137614678899084,52.13470077514648,64.99723052978516,0.040499149101507176,4.049914910150718,0.04047702888678158,0,0
38,467.5,"(48.959552, 3.051305)","(48.97212, 3.065263)",60.9,1758.7,28.87848932676519,64.99723052978516,90.18924713134766,0.014324226190687723,1.4324226190687723,0.014323246613202823,0,0
39,503.5,"(48.97212, 3.065263)","(48.993655, 3.107296)",136.3,3944.3,28.93837123991196,90.18924713134766,158.4523162841797,0.01730676397658191,1.730676397658191,0.017305036356200804,0,0
40,509.5,"(48.993655, 3.107296)","(48.996684, 3.11496)",22.7,654.9,28.85022026431718,158.4523162841797,173.13462829589844,0.02241916630282295,2.241916630282295,0.02241541133536706,0,0
41,523.5,"(48.996684, 3.11496)","(49.007103, 3.140534)",77.7,2207.2,28.406692406692404,173.13462829589844,175.98184204101562,0.001289966357882017,0.1289966357882017,0.0012899656423757137,0,0
42,529.5,"(49.007103, 3.140534)","(49.009189, 3.144979)",24.0,400.1,16.670833333333334,175.98184204101562,182.30288696289065,0.015798662639027815,1.5798662639027814,0.015797348399004874,0,0
43,535.5,"(49.009189, 3.144979)","(49.011299, 3.148539)",14.3,351.2,24.559440559440556,182.30288696289065,186.46080017089844,0.011839160615056334,1.1839160615056334,0.0118386075133978,0,0
44,541.5,"(49.011299, 3.148539)","(49.014435, 3.153913)",18.3,525.8,28.732240437158467,186.46080017089844,189.9503326416016,0.006636615577602042,0.6636615577602042,0.006636518144337331,0,0
45,550.5,"(49.014435, 3.153913)","(49.025017, 3.164291)",48.7,1407.3,28.897330595482543,189.9503326416016,164.697509765625,-0.01794416462444155,-1.794416462444155,-0.01794223903104757,0,0
46,561.5,"(49.025017, 3.164291)","(49.030621, 3.171842)",29.0,842.6,29.055172413793105,164.697509765625,136.25274658203125,-0.033758323265599036,-3.3758323265599035,-0.03374550809096676,0,0
47,603.5,"(49.030621, 3.171842)","(49.039486, 3.231406)",160.1,4618.6,28.848219862585886,136.25274658203125,212.8631134033203,0.016587356952602317,1.6587356952602317,0.016585835919625033,0,0
48,620.5,"(49.039486, 3.231406)","(49.042447, 3.251812)",53.3,1538.1,28.857410881801126,212.8631134033203,184.56280517578125,-0.018399524236095876,-1.8399524236095877,-0.01839744831748869,0,0
49,635.5,"(49.042447, 3.251812)","(49.046538, 3.27089)",51.1,1479.3,28.949119373776906,184.56280517578125,203.920654296875,0.013085817022303624,1.3085817022303623,0.013085070166676364,0,0
50,655.5,"(49.046538, 3.27089)","(49.05093, 3.310035)",100.8,2915.8,28.926587301587304,203.920654296875,179.38526916503906,-0.00841463239311199,-0.8414632393111989,-0.008414433799287706,0,0
51,663.5,"(49.05093, 3.310035)","(49.055268, 3.321256)",33.0,954.6,28.92727272727273,179.38526916503906,165.7551727294922,-0.014278332742035276,-1.4278332742035276,-0.014277362549069797,0,0
52,695.5,"(49.055268, 3.321256)","(49.076369, 3.358664)",126.5,3657.5,28.91304347826087,165.7551727294922,216.28700256347656,0.013815948006557588,1.3815948006557588,0.013815069042572002,0,0
53,711.5,"(49.076369, 3.358664)","(49.077649, 3.379987)",54.5,1572.0,28.844036697247706,216.28700256347656,212.347412109375,-0.0025061007977745307,-0.2506100797774531,-0.002506095551237857,0,0
54,723.5,"(49.077649, 3.379987)","(49.078999, 3.395661)",40.1,1159.8,28.922693266832916,212.347412109375,192.3134002685547,-0.017273678083135294,-1.7273678083135295,-0.017271960350886652,0,0
55,731.5,"(49.078999, 3.395661)","(49.081961, 3.406009)",28.6,826.5,28.898601398601397,192.3134002685547,203.6684112548828,0.01373867027988884,1.3738670279888838,0.013737805981571437,0,0
56,742.5,"(49.081961, 3.406009)","(49.089698, 3.42246)",51.3,1478.9,28.828460038986357,203.6684112548828,206.73892211914065,0.0020762126338885935,0.20762126338885936,0.0020762096506148193,0,0
57,754.5,"(49.089698, 3.42246)","(49.098519, 3.444915)",66.2,1913.3,28.90181268882175,206.73892211914065,171.52793884277344,-0.01840327354642096,-1.8403273546420957,-0.018401196358683987,0,0
58,778.5,"(49.098519, 3.444915)","(49.110457, 3.487746)",118.6,3426.5,28.891231028667793,171.52793884277344,217.9951171875,0.013561120193995786,1.3561120193995786,0.013560288971049866,0,0
59,811.5,"(49.110457, 3.487746)","(49.124215, 3.527375)",114.3,3299.9,28.870516185476816,217.9951171875,227.3476104736328,0.0028341747586692967,0.28341747586692967,0.0028341671701589645,0,0
60,838.5,"(49.124215, 3.527375)","(49.12803, 3.57815)",130.4,3763.3,28.859662576687118,227.3476104736328,198.2364654541016,-0.007735536635275216,-0.7735536635275215,-0.007735382346441932,0,0
61,849.5,"(49.12803, 3.57815)","(49.129064, 3.591658)",34.4,995.0,28.924418604651162,198.2364654541016,222.35617065429688,0.024240909748939984,2.4240909748939985,0.024236163260735168,0,0
62,859.5,"(49.129064, 3.591658)","(49.132411, 3.604823)",35.7,1033.5,28.94957983193277,222.35617065429688,203.68338012695312,-0.01806752832834422,-1.806752832834422,-0.01806556275194792,0,0
63,869.5,"(49.132411, 3.604823)","(49.141879, 3.627032)",67.0,1933.9,28.864179104477614,203.68338012695312,214.02633666992188,0.0053482375215723405,0.5348237521572341,0.005348186529419063,0,0
64,880.5,"(49.141879, 3.627032)","(49.147134, 3.646384)",53.1,1532.3,28.856873822975516,214.02633666992188,220.70193481445312,0.004356586924578248,0.4356586924578248,0.004356559362437211,0,0
65,893.5,"(49.147134, 3.646384)","(49.149245, 3.672816)",67.3,1949.5,28.967310549777118,220.70193481445312,177.45970153808594,-0.022181191729349674,-2.2181191729349674,-0.022177555048466063,0,0
66,901.5,"(49.149245, 3.672816)","(49.150224, 3.6921)",48.9,1413.4,28.9038854805726,177.45970153808594,114.94876861572266,-0.0442273474758478,-4.42273474758478,-0.044198544183330024,0,0
67,916.5,"(49.150224, 3.6921)","(49.156652, 3.71867)",71.8,2075.4,28.90529247910864,114.94876861572266,156.45294189453125,0.01999815615245668,1.9998156152456679,0.01999549086278339,0,0
68,925.5,"(49.156652, 3.71867)","(49.160405, 3.727207)",26.0,749.9,28.842307692307692,156.45294189453125,152.7853240966797,-0.004890809171691642,-0.4890809171691642,-0.0048907701761761084,0,0
69,942.5,"(49.160405, 3.727207)","(49.179129, 3.748645)",91.2,2637.5,28.919956140350877,152.7853240966797,170.41221618652344,0.006683181835011849,0.6683181835011849,0.006683082336418872,0,0
70,959.5,"(49.179129, 3.748645)","(49.199237, 3.760916)",83.8,2420.4,28.883054892601432,170.41221618652344,185.1465301513672,0.006087553282450731,0.6087553282450731,0.006087478085987369,0,0
71,972.5,"(49.199237, 3.760916)","(49.20631, 3.772319)",39.7,1150.4,28.977329974811084,185.1465301513672,167.02236938476562,-0.015754659915335156,-1.5754659915335156,-0.015753356625005637,0,0
72,984.5,"(49.20631, 3.772319)","(49.211424, 3.789909)",48.5,1405.4,28.97731958762887,167.02236938476562,182.70034790039065,0.011155527618916342,1.115552761891634,0.011155064900626049,0,0
73,990.5,"(49.211424, 3.789909)","(49.217751, 3.807332)",50.3,1452.1,28.868787276341948,182.70034790039065,131.96112060546875,-0.03494196494382061,-3.494196494382061,-0.03492775466077847,0,0
74,996.5,"(49.217751, 3.807332)","(49.220312, 3.81301)",17.5,502.5,28.714285714285715,131.96112060546875,109.71416473388672,-0.0442725489981732,-4.42725489981732,-0.04424365737141263,0,0
75,1002.5,"(49.220312, 3.81301)","(49.224954, 3.820765)",26.6,765.7,28.785714285714285,109.71416473388672,114.1370086669922,0.005776209916554111,0.5776209916554111,0.00577614567752704,0,0
76,1030.5,"(49.224954, 3.820765)","(49.234167, 3.859762)",106.8,3086.0,28.895131086142325,114.1370086669922,195.00152587890625,0.026203667275409608,2.620366727540961,0.02619767231796404,0,0
77,1041.5,"(49.234167, 3.859762)","(49.240805, 3.882135)",62.0,1794.4,28.94193548387097,195.00152587890625,184.83160400390625,-0.005667589096633972,-0.5667589096633973,-0.005667528413857443,0,0
78,1075.5,"(49.240805, 3.882135)","(49.244657, 3.928041)",118.0,3415.8,28.947457627118645,184.83160400390625,104.79925537109376,-0.02343004526986723,-2.343004526986723,-0.023425759240791235,0,0
79,1082.5,"(49.244657, 3.928041)","(49.247428, 3.940045)",36.0,927.7,25.769444444444446,104.79925537109376,89.55049896240234,-0.016437163316472374,-1.6437163316472374,-0.016435683223620545,0,0
80,1097.5,"(49.247428, 3.940045)","(49.247378, 3.952065)",36.6,889.8,24.311475409836063,89.55049896240234,84.58033752441406,-0.005585706268811285,-0.5585706268811285,-0.005585648178340315,0,0
81,1106.5,"(49.247378, 3.952065)","(49.244598, 3.96198)",32.2,786.3,24.41925465838509,84.58033752441406,91.6122817993164,0.008943080598883815,0.8943080598883815,0.008942842191698802,0,0
82,1126.5,"(49.244598, 3.96198)","(49.236983, 3.969231)",42.4,1037.3,24.464622641509433,91.6122817993164,84.92023468017578,-0.0064514095431800105,-0.645140954318001,-0.0064513200413867395,0,0
83,1132.5,"(49.236983, 3.969231)","(49.232018, 3.969508)",20.5,552.7,26.9609756097561,84.92023468017578,90.05148315429688,0.009283966842990942,0.9283966842990942,0.009283700122102783,0,0
84,1141.5,"(49.232018, 3.969508)","(49.227337, 3.970433)",18.1,526.6,29.0939226519337,90.05148315429688,87.34197998046875,-0.005145277580380032,-0.5145277580380032,-0.005145232175945141,0,0
85,1151.5,"(49.227337, 3.970433)","(49.22148, 3.975093)",25.5,739.3,28.992156862745095,87.34197998046875,104.81525421142578,0.023634890072983947,2.3634890072983947,0.02363049066763117,0,0
86,1158.5,"(49.22148, 3.975093)","(49.218686, 3.979538)",15.5,450.0,29.032258064516128,104.81525421142578,87.59386444091797,-0.038269755045572916,-3.8269755045572915,-0.03825108848129848,0,0
87,1168.5,"(49.218686, 3.979538)","(49.207622, 4.00892)",85.4,2470.4,28.927400468384075,87.59386444091797,96.82286071777344,0.0037358307467841114,0.3735830746784111,0.003735813367307837,0,0
88,1183.5,"(49.207622, 4.00892)","(49.204578, 4.020597)",32.1,928.6,28.92834890965732,96.82286071777344,91.43416595458984,-0.005803031190161096,-0.5803031190161096,-0.005802966052121342,0,0
89,1197.5,"(49.204578, 4.020597)","(49.206195, 4.032046)",29.9,864.7,28.919732441471574,91.43416595458984,125.94268035888672,0.03990807725719541,3.990807725719541,0.03988691088527142,0,0
90,1220.5,"(49.206195, 4.032046)","(49.207156, 4.08017)",126.8,3659.1,28.857255520504733,125.94268035888672,92.2158660888672,-0.009217243111699467,-0.9217243111699467,-0.009216982100143543,0,0
91,1229.5,"(49.207156, 4.08017)","(49.205656, 4.087197)",18.6,539.3,28.994623655913973,92.2158660888672,90.27912902832033,-0.003591205378355044,-0.3591205378355044,-0.003591189940174585,0,0
92,1237.5,"(49.205656, 4.087197)","(49.203112, 4.094955)",21.9,632.2,28.867579908675804,90.27912902832033,104.22004699707033,0.02205143620491933,2.205143620491933,0.022047862960682466,0,0
93,1261.5,"(49.203112, 4.094955)","(49.187462, 4.143324)",136.9,3954.2,28.883856829802774,104.22004699707033,93.56341552734376,-0.0026950157983224327,-0.26950157983224327,-0.0026950092736186637,0,0
94,1277.5,"(49.187462, 4.143324)","(49.168948, 4.179366)",116.4,3350.4,28.783505154639176,93.56341552734376,104.0526885986328,0.003130752468746727,0.3130752468746727,0.003130742240000915,0,0
95,1298.5,"(49.168948, 4.179366)","(49.148215, 4.20768)",108.1,3113.2,28.799259944495837,104.0526885986328,101.0300064086914,-0.0009709245117375666,-0.09709245117375666,-0.0009709242066427033,0,0
96,1312.5,"(49.148215, 4.20768)","(49.134839, 4.220489)",61.0,1763.1,28.903278688524587,101.0300064086914,110.0420150756836,0.005111456336561845,0.5111456336561845,0.0051114118216104894,0,0
97,1319.5,"(49.134839, 4.220489)","(49.128953, 4.228053)",29.8,858.8,28.81879194630872,110.0420150756836,126.21569061279295,0.0188328778960286,1.88328778960286,0.0188306518383646,0,0
98,1329.5,"(49.128953, 4.228053)","(49.122514, 4.240457)",39.9,1155.0,28.947368421052634,126.21569061279295,112.2330322265625,-0.012106197736996064,-1.2106197736996065,-0.012105606360789589,0,0
99,1339.5,"(49.122514, 4.240457)","(49.11646, 4.248091)",30.2,876.4,29.019867549668874,112.2330322265625,132.90625,0.02358879253016602,2.358879253016602,0.023584418810759244,0,0
100,1363.5,"(49.11646, 4.248091)","(49.098213, 4.255565)",73.7,2129.1,28.888738127544094,132.90625,128.0700225830078,-0.0022714890878738378,-0.22714890878738378,-0.00227148518118011,0,0
101,1378.5,"(49.098213, 4.255565)","(49.084358, 4.261226)",55.2,1600.3,28.990942028985504,128.0700225830078,110.66703033447266,-0.01087483112449863,-1.087483112449863,-0.010874402461996129,0,0
102,1388.5,"(49.084358, 4.261226)","(49.073206, 4.266552)",45.1,1304.0,28.913525498891353,110.66703033447266,129.9101104736328,0.014756963296901961,1.4756963296901962,0.014755892238884502,0,0
103,1399.5,"(49.073206, 4.266552)","(49.05497, 4.287499)",88.2,2544.8,28.85260770975057,129.9101104736328,107.49832916259766,-0.008806893001821421,-0.8806893001821421,-0.008806665320871251,0,0
104,1405.5,"(49.05497, 4.287499)","(49.051525, 4.293224)",19.7,568.0,28.83248730964467,107.49832916259766,120.91725158691406,0.023624863423092266,2.3624863423092264,0.023620469613206505,0,0
105,1411.5,"(49.051525, 4.293224)","(49.049222, 4.298606)",16.2,469.8,29.000000000000004,120.91725158691406,122.3209228515625,0.002987806012448781,0.2987806012448781,0.0029877971217968135,0,0
106,1420.5,"(49.049222, 4.298606)","(49.044218, 4.317418)",51.5,1485.7,28.84854368932039,122.3209228515625,116.33013153076172,-0.0040323021611366906,-0.40323021611366905,-0.004032280306997027,0,0
107,1426.5,"(49.044218, 4.317418)","(49.042157, 4.324869)",20.5,591.2,28.839024390243903,116.33013153076172,114.4907684326172,-0.003111236634209264,-0.3111236634209264,-0.003111226595558294,0,0
108,1438.5,"(49.042157, 4.324869)","(49.040308, 4.337789)",33.5,969.8,28.949253731343283,114.4907684326172,119.64054870605467,0.005310146703895104,0.5310146703895103,0.005310096793505923,0,0
109,1445.5,"(49.040308, 4.337789)","(49.039073, 4.345566)",20.3,587.3,28.931034482758616,119.64054870605467,109.97705841064452,-0.01645409551406463,-1.645409551406463,-0.016452610842990014,0,0
110,1451.5,"(49.039073, 4.345566)","(49.037412, 4.350232)",13.5,388.6,28.78518518518519,109.97705841064452,108.4485092163086,-0.003933477082696663,-0.3933477082696663,-0.003933456796315266,0,0
111,1485.5,"(49.037412, 4.350232)","(49.033916, 4.403759)",138.7,4011.4,28.921413121845713,108.4485092163086,121.88380432128906,0.0033492783329960784,0.33492783329960785,0.0033492658093858666,0,0
112,1495.5,"(49.033916, 4.403759)","(49.035878, 4.423653)",50.9,1473.7,28.95284872298625,121.88380432128906,133.7556915283203,0.008055837149373177,0.8055837149373177,0.008055662890913832,0,0
113,1511.5,"(49.035878, 4.423653)","(49.034164, 4.443726)",51.3,1483.5,28.91812865497076,133.7556915283203,145.08233642578125,0.007635082505871882,0.7635082505871882,0.007634934149993635,0,0
114,1530.5,"(49.034164, 4.443726)","(49.03041, 4.477146)",86.3,2494.8,28.90845886442642,145.08233642578125,137.24708557128906,-0.0031406328581418098,-0.31406328581418097,-0.003140622532247267,0,0
115,1545.5,"(49.03041, 4.477146)","(49.026792, 4.510619)",86.0,2484.9,28.894186046511628,137.24708557128906,148.082275390625,0.004360412821174268,0.43604128211742677,0.004360385186355881,0,0
116,1558.5,"(49.026792, 4.510619)","(49.028917, 4.53224)",55.4,1603.3,28.94043321299639,148.082275390625,151.1245880126953,0.001897531729601642,0.1897531729601642,0.0018975294521721144,0,0
117,1565.5,"(49.028917, 4.53224)","(49.031736, 4.554637)",58.0,1671.4,28.817241379310346,151.1245880126953,154.75363159179688,0.0021712597697149468,0.2171259769714947,0.0021712563576846908,0,0
