gen,fitness
0,564
1,566
2,566
3,571
4,573
5,573
6,580
7,583
8,588
9,588
10,589
11,596
12,596
13,600
14,600
15,604
16,605
17,605
18,610
19,610
20,610
21,616
22,616
23,619
24,620
25,621
26,623
27,624
28,625
29,626
30,631
31,631
32,634
33,634
34,639
35,639
36,641
37,641
38,642
39,647
40,647
41,651
42,651
43,655
44,657
45,657
46,657
47,661
48,661
49,664
50,667
51,672
52,672
53,672
54,675
55,675
56,675
57,678
58,678
59,680
60,684
61,684
62,686
63,689
64,689
65,693
66,693
67,693
68,695
69,697
70,697
71,697
72,702
73,706
74,706
75,706
76,707
77,711
78,712
79,713
80,715
81,716
82,721
83,721
84,721
85,724
86,726
87,728
88,729
89,730
90,734
91,736
92,736
93,739
94,740
95,742
96,742
97,747
98,747
99,757
100,757
101,757
102,758
103,759
104,762
105,762
106,768
107,774
108,774
109,775
110,775
111,775
112,775
113,778
114,778
115,778
116,778
117,780
118,780
119,780
120,780
121,780
122,782
123,782
124,785
125,788
126,790
127,791
128,791
129,791
130,793
131,793
132,793
133,794
134,795
135,796
136,798
137,799
138,799
139,800
140,802
141,802
142,805
143,805
144,806
145,806
146,806
147,808
148,808
149,810
150,811
151,811
152,812
153,813
154,814
155,816
156,818
157,820
158,820
159,820
160,821
161,826
162,826
163,826
164,831
165,831
166,833
167,833
168,837
169,837
170,837
171,837
172,838
173,838
174,839
175,841
176,841
177,841
178,842
179,843
180,844
181,847
182,847
183,848
184,850
185,851
186,851
187,854
188,854
189,855
190,858
191,858
192,859
193,859
194,860
195,860
196,864
197,864
198,864
199,865
