,Global Index,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop
0,10.5,"(36.529964, -6.289261)","(36.530131, -6.28824)",8.6,94.1,10.941860465116278,7.689523220062256,6.292882442474365,-0.014842091153962707,-1.4842091153962707,-0.01484100145476226,0,0
1,24.5,"(36.530131, -6.28824)","(36.52733, -6.284901)",49.4,438.3,8.872469635627532,6.292882442474365,4.053050994873047,-0.005110270243215419,-0.5110270243215419,-0.005110225759245108,0,0
2,35.5,"(36.52733, -6.284901)","(36.524112, -6.281661)",49.8,461.3,9.263052208835342,4.053050994873047,5.578824043273926,0.003307550505963319,0.33075505059633187,0.0033075384446292016,0,0
3,46.5,"(36.524112, -6.281661)","(36.523804, -6.281372)",3.6,52.3,14.527777777777777,5.578824043273926,5.594048500061035,0.00029109860013593454,0.029109860013593454,0.00029109859191352557,0,0
4,61.5,"(36.523804, -6.281372)","(36.523024, -6.279389)",13.7,206.5,15.072992700729928,5.594048500061035,7.213235855102539,0.007841100992937064,0.7841100992937065,0.007840940301080871,0,0
5,75.5,"(36.523024, -6.279389)","(36.521342, -6.275916)",23.8,362.8,15.243697478991598,7.213235855102539,6.988664627075195,-0.0006189945645737148,-0.06189945645737148,-0.0006189944855169293,0,0
6,86.5,"(36.521342, -6.275916)","(36.521133, -6.275133)",6.8,75.4,11.088235294117649,6.988664627075195,2.56812047958374,-0.05862790646540391,-5.862790646540391,-0.05856087209810927,0,0
7,97.5,"(36.521133, -6.275133)","(36.5251, -6.24973)",109.8,2320.1,21.13023679417122,2.56812047958374,6.498067855834961,0.0016938698229607436,0.16938698229607435,0.0016938682029492699,0,0
8,127.5,"(36.5251, -6.24973)","(36.522971, -6.232173)",75.2,1631.8,21.699468085106382,6.498067855834961,4.343684196472168,-0.001320249821891649,-0.1320249821891649,-0.0013202490548010792,0,0
9,138.5,"(36.522971, -6.232173)","(36.521367, -6.230748)",9.8,219.4,22.387755102040817,4.343684196472168,7.403669357299805,0.013947060897117761,1.394706089711776,0.013946156672860784,0,0
10,150.5,"(36.521367, -6.230748)","(36.520429, -6.228811)",10.8,204.9,18.97222222222222,7.403669357299805,7.371463298797607,-0.00015717939727768308,-0.015717939727768308,-0.00015717939598329175,0,0
11,163.5,"(36.520429, -6.228811)","(36.520854, -6.225664)",16.6,293.7,17.69277108433735,7.371463298797607,4.569225311279297,-0.009541157601356182,-0.9541157601356182,-0.009540868094912985,0,0
12,174.5,"(36.520854, -6.225664)","(36.522695, -6.222987)",15.3,315.6,20.627450980392158,4.569225311279297,6.383745670318604,0.0057494307954350675,0.5749430795435068,0.00574936744571731,0,0
13,188.5,"(36.522695, -6.222987)","(36.526824, -6.211671)",50.2,1114.3,22.197211155378483,6.383745670318604,9.31217098236084,0.0026280403051621966,0.26280403051621964,0.002628034254916517,0,0
14,201.5,"(36.526824, -6.211671)","(36.531625, -6.204021)",39.7,882.9,22.239294710327453,9.31217098236084,3.5859782695770264,-0.006485663962831367,-0.6485663962831367,-0.006485573027822394,0,0
15,212.5,"(36.531625, -6.204021)","(36.536627, -6.198333)",31.0,754.1,24.325806451612905,3.5859782695770264,8.116761207580566,0.006008199095615356,0.6008199095615355,0.006008126801610193,0,0
16,234.5,"(36.536627, -6.198333)","(36.54097, -6.18524)",50.9,1274.7,25.043222003929273,8.116761207580566,13.021512031555176,0.003847768748705271,0.3847768748705271,0.003847749759719179,0,0
17,249.5,"(36.54097, -6.18524)","(36.540882, -6.167393)",64.1,1601.9,24.990639625585025,13.021512031555176,9.069683074951172,-0.0024669635786278817,-0.24669635786278818,-0.002466958574073962,0,0
18,263.5,"(36.540882, -6.167393)","(36.544561, -6.13797)",106.8,2674.4,25.04119850187266,9.069683074951172,15.537638664245604,0.0024184697836129344,0.24184697836129343,0.002418465068422709,0,0
19,287.5,"(36.544561, -6.13797)","(36.560044, -6.107899)",130.0,3252.6,25.02,15.537638664245604,18.972579956054688,0.0010560601647325474,0.10560601647325474,0.0010560597721378424,0,0
20,298.5,"(36.560044, -6.107899)","(36.567059, -6.104497)",33.6,842.4,25.07142857142857,18.972579956054688,9.21357250213623,-0.011584766683189052,-1.1584766683189052,-0.011584248473354585,0,0
21,333.5,"(36.567059, -6.104497)","(36.59211, -6.085642)",133.4,3338.8,25.02848575712144,9.21357250213623,74.59506225585938,0.019582331901797992,1.9582331901797991,0.019579829413473603,0,0
22,365.5,"(36.59211, -6.085642)","(36.614739, -6.083132)",102.5,2558.3,24.959024390243904,74.59506225585938,21.23485565185547,-0.02085768150881597,-2.0857681508815973,-0.020854657636155162,0,0
23,385.5,"(36.614739, -6.083132)","(36.632066, -6.087884)",78.8,1976.3,25.07994923857868,21.23485565185547,9.537555694580078,-0.005918787611837975,-0.5918787611837976,-0.0059187184975425045,0,0
24,396.5,"(36.632066, -6.087884)","(36.639092, -6.088247)",31.2,782.3,25.07371794871795,9.537555694580078,7.774744033813477,-0.0022533703959690676,-0.22533703959690676,-0.002253366582017486,0,0
25,416.5,"(36.639092, -6.088247)","(36.65843, -6.084909)",87.0,2179.7,25.054022988505746,7.774744033813477,6.489332675933838,-0.0005897193916041835,-0.058971939160418346,-0.0005897193232421644,0,0
26,439.5,"(36.65843, -6.084909)","(36.679668, -6.086136)",96.9,2420.8,24.982456140350877,6.489332675933838,8.187479019165039,0.0007014814702706548,0.07014814702706548,0.0007014813552098975,0,0
27,452.5,"(36.679668, -6.086136)","(36.697119, -6.076659)",85.0,2123.0,24.976470588235294,8.187479019165039,10.409642219543455,0.0010467089968810251,0.10467089968810252,0.001046708614623247,0,0
28,498.5,"(36.697119, -6.076659)","(36.777419, -6.042907)",362.1,9647.4,26.64291632145816,10.409642219543455,42.8654670715332,0.003364204329870198,0.3364204329870198,0.0033641916380797643,0,0
29,517.5,"(36.777419, -6.042907)","(36.787532, -6.043596)",42.0,1126.4,26.81904761904762,42.8654670715332,44.53108596801758,0.0014787099578163839,0.1478709957816384,0.0014787088800437107,0,0
30,532.5,"(36.787532, -6.043596)","(36.814654, -6.037158)",118.4,3081.5,26.02618243243243,44.53108596801758,39.576454162597656,-0.0016078636395975732,-0.16078636395975732,-0.0016078622540363708,0,0
31,545.5,"(36.814654, -6.037158)","(36.822828, -6.033059)",39.7,987.4,24.871536523929468,39.576454162597656,41.761043548583984,0.002212466463425489,0.22124664634254892,0.0022124628534225216,0,0
32,575.5,"(36.822828, -6.033059)","(36.854601, -5.997572)",192.9,4827.2,25.024364955935717,41.761043548583984,81.32837677001953,0.008196746192707065,0.8196746192707065,0.008196562629472673,0,0
33,608.5,"(36.854601, -5.997572)","(36.895004, -5.973759)",205.9,5154.8,25.035454103933947,81.32837677001953,35.34554672241211,-0.008920390713045593,-0.8920390713045593,-0.008920154115823269,0,0
