gen,fitness,picos
0,558,1
1,561,0
2,562,0
3,574,0
4,574,0
5,576,0
6,576,0
7,576,0
8,581,0
9,582,0
10,586,0
11,586,0
12,587,0
13,590,0
14,592,0
15,595,0
16,597,0
17,599,0
18,599,0
19,603,0
20,605,0
21,612,0
22,612,0
23,614,0
24,622,0
25,622,0
26,622,0
27,623,0
28,623,0
29,630,0
30,630,0
31,631,0
32,634,0
33,634,0
34,634,0
35,642,0
36,647,0
37,647,0
38,647,0
39,648,0
40,652,0
41,652,0
42,653,0
43,658,0
44,658,0
45,661,0
46,661,0
47,663,0
48,665,0
49,668,0
50,670,0
51,670,0
52,670,0
53,673,0
54,676,0
55,676,0
56,681,0
57,683,0
58,684,0
59,685,0
60,688,0
61,691,0
62,692,0
63,697,0
64,697,0
65,697,0
66,702,0
67,702,0
68,704,0
69,704,0
70,704,0
71,704,0
72,707,0
73,707,0
74,711,0
75,711,0
76,712,0
77,714,0
78,714,0
79,719,0
80,719,0
81,720,0
82,723,0
83,727,0
84,727,0
85,727,0
86,731,0
87,731,0
88,732,0
89,739,0
90,739,0
91,739,0
92,739,0
93,739,0
94,740,0
95,740,0
96,743,0
97,744,0
98,745,0
99,751,0
100,751,0
101,751,0
102,751,0
103,753,0
104,754,0
105,759,0
106,759,0
107,759,0
108,760,0
109,761,0
110,764,0
111,764,0
112,767,0
113,767,0
114,767,0
115,775,0
116,775,0
117,775,0
118,776,0
119,776,0
120,778,0
121,783,0
122,783,0
123,784,0
124,785,0
125,790,0
126,790,0
127,790,0
128,791,0
129,791,0
130,792,0
131,795,0
132,795,0
133,796,0
134,800,0
135,801,0
136,801,0
137,802,0
138,802,0
139,803,0
140,803,0
141,805,0
142,805,0
143,811,0
144,811,0
145,812,0
146,812,0
147,815,0
148,815,0
149,815,0
150,816,0
151,816,0
152,824,0
153,824,0
154,824,0
155,824,0
156,825,0
157,826,0
158,826,0
159,829,0
160,830,0
161,830,0
162,831,0
163,833,0
164,837,0
165,837,0
166,837,0
167,840,0
168,840,0
169,841,0
170,842,0
171,842,0
172,843,0
173,844,0
174,845,0
175,847,0
176,847,0
177,848,0
178,848,0
179,849,0
180,855,0
181,855,0
182,855,0
183,855,0
184,855,0
185,855,0
186,855,0
187,857,0
188,858,0
189,858,0
190,859,0
191,861,0
192,861,0
193,862,0
194,864,0
195,864,0
196,864,0
197,866,0
198,867,0
199,867,0
