gen,fitness
0,562
1,562
2,562
3,565
4,565
5,568
6,575
7,575
8,577
9,580
10,584
11,593
12,593
13,594
14,597
15,602
16,606
17,608
18,608
19,608
20,609
21,611
22,612
23,616
24,618
25,622
26,625
27,625
28,629
29,629
30,630
31,635
32,638
33,638
34,638
35,643
36,644
37,646
38,646
39,647
40,649
41,650
42,655
43,655
44,655
45,660
46,662
47,662
48,665
49,666
50,666
51,669
52,669
53,669
54,670
55,675
56,676
57,680
58,680
59,681
60,681
61,683
62,692
63,692
64,692
65,692
66,693
67,696
68,696
69,697
70,703
71,703
72,703
73,704
74,705
75,708
76,709
77,712
78,715
79,716
80,716
81,716
82,723
83,723
84,723
85,723
86,724
87,725
88,728
89,729
90,729
91,733
92,734
93,737
94,739
95,739
96,740
97,741
98,744
99,744
100,747
101,748
102,749
103,752
104,753
105,760
106,760
107,760
108,760
109,764
110,764
111,764
112,764
113,766
114,767
115,767
116,771
117,772
118,772
119,772
120,773
121,774
122,776
123,777
124,781
125,781
126,786
127,789
128,789
129,792
130,792
131,792
132,793
133,793
134,793
135,797
136,800
137,800
138,800
139,800
140,800
141,804
142,805
143,808
144,808
145,808
146,809
147,813
148,813
149,815
150,815
151,815
152,819
153,821
154,821
155,821
156,825
157,826
158,826
159,826
160,827
161,827
162,831
163,831
164,833
165,833
166,835
167,835
168,837
169,838
170,840
171,840
172,840
173,841
174,841
175,843
176,843
177,843
178,845
179,847
180,847
181,847
182,849
183,851
184,851
185,852
186,853
187,853
188,853
189,857
190,857
191,859
192,859
193,861
194,861
195,864
196,864
197,864
198,864
199,866
