gen,fitness
0,556
1,558
2,565
3,565
4,565
5,565
6,574
7,574
8,577
9,580
10,580
11,590
12,590
13,590
14,592
15,598
16,603
17,603
18,605
19,610
20,610
21,610
22,613
23,613
24,619
25,619
26,619
27,623
28,625
29,625
30,625
31,634
32,634
33,634
34,636
35,637
36,642
37,646
38,647
39,647
40,647
41,647
42,653
43,653
44,655
45,658
46,661
47,664
48,664
49,667
50,667
51,668
52,668
53,675
54,677
55,677
56,678
57,679
58,686
59,686
60,688
61,692
62,695
63,695
64,700
65,700
66,700
67,702
68,702
69,706
70,706
71,708
72,715
73,721
74,721
75,721
76,721
77,721
78,721
79,723
80,723
81,723
82,723
83,724
84,727
85,730
86,732
87,732
88,732
89,734
90,735
91,736
92,736
93,739
94,742
95,742
96,742
97,744
98,746
99,751
100,751
101,751
102,751
103,751
104,754
105,756
106,758
107,762
108,762
109,763
110,765
111,766
112,767
113,767
114,768
115,768
116,769
117,771
118,773
119,775
120,776
121,777
122,777
123,779
124,782
125,784
126,784
127,784
128,787
129,787
130,791
131,792
132,792
133,792
134,795
135,797
136,797
137,797
138,797
139,799
140,801
141,802
142,803
143,806
144,806
145,809
146,809
147,809
148,810
149,812
150,812
151,814
152,815
153,815
154,819
155,820
156,820
157,821
158,822
159,825
160,825
161,826
162,826
163,830
164,833
165,833
166,833
167,833
168,834
169,834
170,834
171,838
172,840
173,840
174,840
175,843
176,845
177,845
178,845
179,846
180,848
181,849
182,849
183,849
184,851
185,853
186,854
187,854
188,854
189,855
190,856
191,858
192,858
193,861
194,861
195,864
196,864
197,865
198,865
199,866
