gen,fitness
0,562
1,562
2,567
3,567
4,568
5,568
6,573
7,574
8,578
9,583
10,588
11,591
12,591
13,599
14,599
15,599
16,601
17,602
18,603
19,610
20,610
21,610
22,611
23,614
24,614
25,616
26,618
27,621
28,625
29,631
30,631
31,636
32,636
33,636
34,639
35,640
36,641
37,644
38,646
39,646
40,647
41,647
42,652
43,652
44,655
45,656
46,661
47,669
48,669
49,669
50,672
51,675
52,677
53,677
54,680
55,680
56,682
57,683
58,692
59,692
60,692
61,692
62,693
63,693
64,696
65,700
66,700
67,700
68,703
69,703
70,703
71,703
72,704
73,707
74,707
75,707
76,707
77,709
78,712
79,712
80,714
81,714
82,715
83,717
84,720
85,726
86,727
87,727
88,727
89,727
90,733
91,733
92,733
93,733
94,738
95,738
96,738
97,740
98,740
99,746
100,746
101,748
102,748
103,748
104,748
105,752
106,753
107,753
108,755
109,758
110,758
111,758
112,761
113,761
114,766
115,766
116,766
117,766
118,770
119,771
120,772
121,775
122,776
123,779
124,779
125,780
126,780
127,786
128,786
129,787
130,792
131,792
132,792
133,792
134,792
135,794
136,794
137,794
138,795
139,795
140,795
141,796
142,799
143,802
144,802
145,802
146,804
147,804
148,804
149,809
150,811
151,811
152,811
153,813
154,814
155,814
156,816
157,816
158,816
159,820
160,820
161,820
162,822
163,822
164,823
165,823
166,826
167,826
168,826
169,829
170,831
171,831
172,835
173,835
174,835
175,835
176,836
177,838
178,838
179,838
180,840
181,840
182,842
183,846
184,846
185,848
186,848
187,848
188,851
189,852
190,852
191,852
192,855
193,855
194,856
195,860
196,860
197,860
198,860
199,860
