gen,fitness,picos
0,554,1708
1,560,132
2,567,152
3,572,26
4,572,22
5,572,640
6,574,24
7,575,24
8,578,634
9,587,84
10,587,233
11,587,24
12,594,25
13,598,181
14,598,422
15,598,631
16,601,93
17,602,23
18,602,19
19,606,321
20,606,23
21,611,31
22,612,21
23,614,259
24,617,22
25,623,24
26,626,22
27,626,268
28,626,27
29,626,18
30,628,638
31,629,20
32,630,26
33,632,28
34,638,385
35,639,21
36,639,634
37,645,16
38,645,23
39,645,24
40,647,382
41,647,21
42,648,28
43,649,18
44,653,629
45,662,22
46,662,298
47,662,21
48,662,21
49,664,20
50,665,26
51,670,431
52,671,369
53,672,22
54,673,27
55,674,636
56,677,24
57,677,22
58,678,637
59,687,643
60,687,20
61,687,21
62,687,21
63,688,22
64,690,23
65,690,18
66,697,23
67,697,650
68,697,22
69,697,18
70,697,17
71,699,22
72,706,22
73,706,23
74,706,24
75,706,20
76,708,21
77,709,436
78,709,24
79,713,24
80,717,22
81,717,357
82,718,20
83,723,24
84,725,426
85,726,17
86,726,24
87,726,24
88,732,24
89,733,20
90,734,433
91,734,31
92,735,639
93,737,22
94,738,20
95,741,633
96,741,21
97,741,22
98,743,20
99,743,20
100,745,29
101,747,17
102,748,24
103,748,26
104,751,24
105,752,22
106,753,22
107,753,23
108,756,23
109,757,25
110,758,24
111,758,22
112,759,434
113,761,20
114,762,20
115,764,22
116,765,21
117,767,24
118,768,20
119,769,20
120,769,22
121,773,21
122,776,23
123,776,21
124,777,22
125,777,22
126,777,18
127,778,22
128,779,20
129,780,22
130,783,22
131,785,19
132,785,21
133,785,20
134,788,17
135,788,23
136,788,21
137,791,23
138,791,24
139,795,20
140,795,436
141,795,436
142,795,22
143,797,21
144,797,22
145,798,21
146,802,23
147,802,22
148,804,21
149,804,19
150,806,23
151,807,21
152,811,20
153,811,17
154,812,20
155,812,27
156,817,24
157,817,17
158,817,22
159,818,22
160,823,20
161,823,21
162,824,24
163,824,20
164,824,22
165,824,20
166,826,24
167,826,26
168,828,23
169,828,21
170,830,23
171,832,17
172,832,21
173,834,22
174,836,22
175,836,20
176,837,30
177,839,23
178,839,24
179,839,19
180,844,22
181,844,19
182,844,18
183,844,20
184,846,42
185,846,21
186,847,450
187,847,21
188,850,21
189,850,19
190,854,438
191,854,21
192,854,18
193,855,17
194,856,20
195,858,21
196,859,19
197,859,23
198,860,435
199,861,21
