gen,fitness,picos
0,552,1639
1,557,41
2,559,22
3,565,144
4,565,21
5,573,24
6,574,24
7,574,21
8,580,182
9,584,24
10,588,21
11,589,23
12,590,23
13,594,21
14,601,22
15,606,125
16,606,637
17,606,131
18,610,27
19,610,23
20,610,23
21,612,19
22,612,271
23,612,229
24,616,22
25,620,18
26,620,206
27,623,19
28,623,193
29,627,23
30,629,636
31,631,24
32,634,21
33,634,24
34,635,639
35,635,24
36,638,637
37,641,22
38,647,19
39,648,21
40,648,24
41,652,136
42,652,432
43,652,36
44,652,642
45,655,22
46,665,425
47,665,223
48,665,220
49,669,20
50,671,201
51,671,27
52,672,633
53,673,24
54,673,425
55,677,23
56,683,25
57,683,637
58,683,19
59,683,20
60,683,20
61,685,21
62,687,24
63,689,21
64,692,21
65,692,23
66,693,24
67,696,24
68,696,24
69,697,26
70,700,19
71,700,23
72,701,27
73,706,27
74,706,24
75,708,40
76,708,136
77,709,24
78,713,428
79,715,245
80,716,21
81,719,20
82,719,24
83,721,26
84,723,38
85,723,20
86,723,21
87,727,16
88,732,18
89,732,640
90,732,17
91,733,22
92,738,435
93,738,21
94,738,23
95,738,21
96,739,20
97,739,25
98,741,24
99,744,27
100,746,28
101,747,433
102,748,23
103,751,18
104,751,29
105,752,30
106,756,19
107,756,24
108,756,38
109,763,19
110,763,436
111,763,22
112,763,21
113,764,30
114,766,20
115,766,635
116,768,431
117,768,23
118,769,23
119,771,21
120,772,440
121,773,20
122,776,22
123,776,22
124,778,20
125,778,20
126,781,22
127,781,635
128,783,21
129,784,19
130,784,464
131,784,21
132,786,435
133,788,32
134,792,22
135,792,473
136,793,20
137,793,22
138,794,24
139,796,22
140,797,20
141,798,16
142,798,19
143,800,19
144,801,451
145,802,21
146,807,23
147,807,19
148,809,26
149,810,27
150,810,21
151,814,22
152,814,21
153,815,23
154,815,22
155,815,20
156,815,22
157,816,22
158,820,23
159,820,19
160,820,19
161,820,20
162,821,21
163,822,18
164,823,22
165,827,23
166,827,23
167,827,20
168,828,20
169,830,16
170,830,24
171,831,17
172,831,25
173,832,461
174,833,20
175,834,21
176,836,19
177,839,23
178,842,21
179,842,20
180,845,33
181,845,21
182,845,462
183,845,22
184,847,19
185,847,22
186,850,16
187,851,20
188,851,20
189,852,452
190,852,19
191,855,22
192,855,462
193,856,18
194,857,21
195,858,18
196,858,19
197,858,23
198,858,24
199,860,22
