gen,fitness
0,556
1,556
2,561
3,570
4,570
5,571
6,571
7,576
8,585
9,585
10,585
11,585
12,597
13,597
14,597
15,597
16,601
17,602
18,606
19,607
20,607
21,611
22,618
23,618
24,618
25,620
26,629
27,629
28,629
29,629
30,629
31,632
32,634
33,635
34,635
35,637
36,638
37,641
38,641
39,643
40,647
41,649
42,654
43,654
44,664
45,664
46,664
47,669
48,670
49,670
50,670
51,672
52,674
53,674
54,674
55,676
56,679
57,680
58,683
59,686
60,686
61,688
62,688
63,690
64,693
65,695
66,697
67,697
68,700
69,702
70,708
71,708
72,710
73,710
74,710
75,714
76,720
77,720
78,721
79,721
80,726
81,731
82,731
83,736
84,736
85,742
86,743
87,748
88,748
89,748
90,748
91,748
92,748
93,749
94,749
95,749
96,751
97,752
98,753
99,753
100,753
101,755
102,755
103,755
104,755
105,757
106,757
107,758
108,761
109,766
110,766
111,766
112,769
113,769
114,770
115,772
116,773
117,776
118,776
119,779
120,780
121,783
122,783
123,783
124,786
125,786
126,788
127,792
128,792
129,792
130,794
131,794
132,797
133,797
134,798
135,798
136,798
137,798
138,799
139,800
140,802
141,803
142,805
143,806
144,810
145,810
146,810
147,811
148,812
149,812
150,812
151,813
152,816
153,817
154,817
155,820
156,821
157,821
158,822
159,825
160,825
161,825
162,827
163,828
164,829
165,830
166,830
167,833
168,833
169,833
170,835
171,835
172,836
173,837
174,839
175,839
176,843
177,846
178,846
179,846
180,846
181,848
182,851
183,851
184,853
185,853
186,853
187,853
188,853
189,854
190,854
191,855
192,858
193,859
194,859
195,859
196,860
197,862
198,862
199,864
