gen,fitness,picos
0,568,940
1,568,601
2,568,23
3,575,112
4,575,24
5,578,637
6,578,20
7,582,22
8,582,20
9,582,24
10,587,187
11,587,18
12,588,23
13,588,26
14,590,24
15,598,222
16,598,18
17,600,26
18,602,260
19,612,198
20,612,22
21,612,639
22,616,638
23,617,24
24,617,639
25,617,18
26,619,24
27,627,24
28,627,640
29,627,21
30,631,637
31,634,224
32,640,227
33,640,152
34,640,28
35,640,645
36,642,18
37,642,224
38,645,24
39,645,198
40,650,23
41,650,22
42,653,433
43,653,21
44,654,24
45,654,431
46,658,22
47,660,24
48,660,24
49,664,22
50,664,23
51,668,23
52,670,24
53,672,55
54,672,433
55,674,22
56,675,18
57,677,433
58,680,24
59,683,23
60,683,28
61,688,644
62,688,21
63,688,21
64,688,423
65,690,19
66,691,24
67,691,22
68,697,19
69,697,638
70,697,428
71,698,22
72,702,23
73,707,435
74,707,25
75,707,19
76,710,20
77,710,424
78,710,22
79,715,637
80,719,22
81,719,23
82,719,18
83,724,22
84,724,23
85,724,638
86,724,21
87,727,32
88,728,16
89,728,19
90,732,22
91,732,21
92,732,22
93,735,29
94,736,18
95,737,28
96,737,23
97,740,40
98,740,24
99,741,23
100,743,21
101,744,25
102,744,438
103,746,23
104,751,434
105,753,21
106,754,23
107,754,431
108,755,23
109,755,24
110,757,22
111,758,478
112,758,25
113,762,24
114,762,27
115,766,642
116,770,20
117,770,20
118,773,21
119,773,19
120,773,21
121,775,24
122,775,22
123,775,24
124,777,23
125,777,20
126,778,25
127,780,22
128,782,22
129,784,24
130,785,35
131,785,23
132,786,20
133,786,633
134,787,20
135,795,19
136,795,21
137,795,22
138,795,22
139,795,19
140,795,24
141,796,438
142,796,21
143,799,19
144,801,25
145,801,20
146,801,24
147,802,18
148,805,19
149,805,29
150,807,24
151,807,19
152,810,17
153,816,23
154,816,22
155,816,19
156,816,26
157,817,29
158,819,20
159,821,22
160,821,22
161,821,24
162,821,29
163,821,430
164,822,21
165,824,19
166,825,23
167,828,25
168,830,21
169,830,20
170,830,23
171,831,431
172,833,22
173,833,477
174,834,32
175,836,20
176,836,21
177,837,19
178,837,13
179,837,19
180,839,22
181,839,21
182,843,22
183,843,21
184,843,20
185,844,29
186,846,23
187,846,18
188,849,21
189,849,19
190,849,20
191,851,23
192,851,23
193,854,21
194,854,21
195,856,20
196,856,436
197,857,18
198,857,19
199,857,19
