gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,32500,8,0.523599,,0.523599,0.369262,0.438009,338.8834,246.9562,287.803563,598.679442,662.599946,631.211199
1,32500,8,0.523599,,0.523599,0.37384,0.451756,338.8834,254.4382,295.489506,598.679442,661.191126,625.638483
2,32500,8,0.523599,,0.523599,0.383973,0.463967,338.8834,260.2641,302.664347,595.11884,654.904995,620.922204
3,32500,8,0.523599,,0.523599,0.411054,0.474795,338.8834,266.909,308.658806,595.11884,640.503103,616.493204
4,32500,8,0.523599,,0.523599,0.421709,0.485216,344.4759,277.9684,314.616429,596.96556,640.281566,612.356845
5,32500,8,0.525316,,0.525316,0.455866,0.495143,344.4759,300.5377,320.615473,593.833701,626.91845,608.634184
6,32500,8,0.535658,,0.535658,0.455866,0.500591,346.8557,299.688,324.078247,593.833701,626.91845,606.704782
7,32500,8,0.546694,,0.546694,0.456067,0.506419,353.9515,299.688,327.593561,590.76281,625.929395,604.514396
8,32500,8,0.546975,,0.546975,0.459755,0.512681,358.1105,303.9999,331.383664,590.76281,625.929395,602.170245
9,32500,8,0.546975,,0.546975,0.47687,0.518406,358.1105,303.9999,334.91182,590.76281,611.752951,600.068645
10,32500,8,0.546975,,0.546975,0.494877,0.523348,358.7939,321.525,338.454252,590.752113,609.500899,598.5875
11,32500,8,0.561235,,0.561235,0.496633,0.528293,365.1062,322.7462,341.724718,586.895235,608.899103,596.922473
12,32500,8,0.561235,,0.561235,0.502442,0.532661,365.1062,322.9547,344.140121,586.895235,608.105788,595.133874
13,32500,8,0.564436,,0.564436,0.509597,0.538107,366.4147,324.2483,348.080966,585.275246,604.165558,593.526318
14,32500,8,0.571,,0.571,0.512415,0.541916,371.5974,332.9435,350.612898,576.438253,604.683417,592.252467
15,32500,8,0.572558,,0.572558,0.517866,0.545985,371.5974,333.99,353.126515,576.438253,604.683417,590.762703
16,32500,8,0.577494,,0.577494,0.517866,0.550261,372.6795,336.2523,355.905237,576.438253,604.683417,589.289579
17,32500,8,0.579908,,0.579908,0.517866,0.554176,372.835,341.1698,358.275356,576.191193,604.683417,587.823827
18,32500,8,0.579908,,0.579908,0.52942,0.557381,374.9691,345.4558,360.064762,576.160357,598.543461,586.523718
19,32500,8,0.585961,,0.585961,0.53627,0.56142,380.6137,345.8899,362.648711,575.784531,595.138248,585.104278
20,32500,8,0.586575,,0.586575,0.538312,0.565234,380.6381,350.5362,364.570935,573.333406,595.138248,583.417896
21,32500,8,0.597168,,0.597168,0.541959,0.568892,385.2893,350.5362,366.911841,572.392783,592.444627,582.132897
22,32500,8,0.600849,,0.600849,0.541959,0.572144,385.2893,350.5362,368.772973,566.022451,592.167686,580.843947
