gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,20000,12,0.501261,,0.501261,0.366674,0.428815,326.5908,247.4064,283.160583,607.812746,662.120874,635.271203
1,20000,12,0.50231,,0.50231,0.376606,0.442781,329.014,254.5361,291.20994,606.943331,656.813105,629.771129
2,20000,12,0.50231,,0.50231,0.379318,0.454373,329.014,256.539,298.047902,606.943331,656.039571,625.312201
3,20000,12,0.50231,,0.50231,0.389043,0.464387,329.014,259.2752,303.917138,605.217173,650.287945,621.434117
4,20000,12,0.512806,,0.512806,0.408016,0.472729,336.3878,271.7976,308.905457,605.217173,643.879781,618.270006
5,20000,12,0.512806,,0.512806,0.415037,0.480392,336.3878,274.3716,314.00917,605.217173,640.128534,615.713064
6,20000,12,0.512806,,0.512806,0.448311,0.485637,336.3878,293.817,317.30151,601.737007,627.204824,613.827983
7,20000,12,0.515955,,0.515955,0.451974,0.489361,336.3878,296.7301,319.385647,601.737007,626.476226,612.319856
8,20000,12,0.515955,,0.515955,0.460318,0.493322,336.3878,305.3001,321.953759,601.640388,626.476226,610.950905
9,20000,12,0.526538,,0.526538,0.472117,0.497369,348.8948,308.2514,324.624372,599.847485,621.114596,609.584161
10,20000,12,0.526538,,0.526538,0.477478,0.500399,348.8948,312.1117,326.532723,599.43523,621.114596,608.499588
11,20000,12,0.533083,,0.533083,0.478158,0.504415,353.4206,312.1117,329.249028,597.983577,620.878008,607.18681
12,20000,12,0.541392,,0.541392,0.48117,0.507647,355.1451,312.1117,330.815659,595.698221,618.682786,605.715709
13,20000,12,0.541392,,0.541392,0.483592,0.510821,355.1451,318.5166,333.03832,595.698221,618.682786,604.729434
14,20000,12,0.541392,,0.541392,0.485434,0.514008,355.1451,323.1423,335.098874,592.600121,617.900479,603.624372
15,20000,12,0.557423,,0.557423,0.495968,0.517449,366.0183,325.1614,337.222628,590.480411,614.559238,602.363712
16,20000,12,0.557423,,0.557423,0.497662,0.520812,366.0183,325.1614,339.323351,588.790943,614.415193,601.148163
17,20000,12,0.557423,,0.557423,0.497662,0.525052,366.0183,325.1614,341.748461,585.462037,614.415193,599.466389
18,20000,12,0.567547,,0.567547,0.503519,0.530256,371.8907,331.0724,344.87007,585.462037,611.914352,597.498842
19,20000,12,0.567547,,0.567547,0.503519,0.534109,371.8907,333.6666,347.305316,585.462037,611.914352,596.125247
20,20000,12,0.567547,,0.567547,0.506699,0.537212,371.8907,333.6666,349.108188,585.462037,608.366164,594.912885
21,20000,12,0.567941,,0.567941,0.511902,0.541286,372.1785,336.4743,351.704401,585.462037,607.467037,593.475172
22,20000,12,0.567941,,0.567941,0.51654,0.544896,372.1785,339.3343,354.073639,585.462037,606.343767,592.246734
23,20000,12,0.573169,,0.573169,0.51654,0.549878,375.0677,341.5731,357.31563,583.17609,606.343767,590.533096
24,20000,12,0.573169,,0.573169,0.533834,0.553601,375.0677,341.5731,359.632054,581.271381,597.020508,589.181437
25,20000,12,0.573169,,0.573169,0.534778,0.555703,375.0677,340.7769,361.109871,582.883493,595.757729,588.532664
26,20000,12,0.573169,,0.573169,0.539151,0.558998,375.0677,347.324,363.264592,582.883493,593.681485,587.406403
27,20000,12,0.575256,,0.575256,0.540459,0.561082,375.0677,348.7523,364.923636,582.52986,593.681485,586.892632
28,20000,12,0.575419,,0.575419,0.542107,0.563883,378.2913,348.7523,366.821093,580.629648,591.867971,585.978972
29,20000,12,0.576342,,0.576342,0.550236,0.566233,378.2913,354.8948,368.274265,580.629648,591.867971,585.120071
30,20000,12,0.580933,,0.580933,0.552948,0.568214,380.241,355.0233,369.779811,579.865411,591.210669,584.583718
31,20000,12,0.580933,,0.580933,0.553417,0.570318,380.241,358.1524,371.285896,579.865411,589.197731,583.951818
32,20000,12,0.584528,,0.584528,0.558352,0.572506,382.1574,362.5055,372.840358,579.865411,588.446693,583.287021
33,20000,12,0.586019,,0.586019,0.562112,0.574104,383.2837,362.5055,373.938748,578.961667,587.230509,582.776166
34,20000,12,0.586019,,0.586019,0.562112,0.575204,385.1529,362.5055,374.732642,578.961667,587.230509,582.450377
35,20000,12,0.588018,,0.588018,0.568157,0.577021,385.1529,366.1298,375.86064,575.1463,586.972903,581.788881
36,20000,12,0.59072,,0.59072,0.568157,0.578815,385.1529,368.0248,376.99445,574.16695,586.972903,581.149252
37,20000,12,0.59416,,0.59416,0.568515,0.580528,387.5455,368.0909,378.01954,574.16695,586.972903,580.500486
38,20000,12,0.59416,,0.59416,0.568515,0.582146,387.5455,369.0607,378.944882,574.16695,586.27144,579.858014
39,20000,12,0.596629,,0.596629,0.570545,0.583835,388.0102,371.6342,380.018812,574.16695,584.93372,579.260267
40,20000,12,0.596629,,0.596629,0.574672,0.58508,388.0102,374.0642,380.719499,574.16695,584.798344,578.758793
41,20000,12,0.598268,,0.598268,0.575449,0.586556,388.8317,375.6896,381.386338,573.462456,584.480395,578.054613
42,20000,12,0.598268,,0.598268,0.575534,0.588294,389.0981,375.8085,382.237234,573.462456,584.480395,577.269398
43,20000,12,0.599768,,0.599768,0.575742,0.589945,389.0981,377.7368,383.300048,570.97489,584.043617,576.693185
44,20000,12,0.599768,,0.599768,0.583547,0.591203,390.4613,378.515,384.036083,570.97489,581.333081,576.205603
45,20000,12,0.602858,,0.602858,0.583704,0.592804,392.893,379.3883,384.833275,570.97489,580.998203,575.490608
46,20000,12,0.602858,,0.602858,0.584417,0.593871,392.893,380.2735,385.508995,570.97489,580.998203,575.111636
47,20000,12,0.612703,,0.612703,0.584626,0.595572,395.5818,380.2892,386.515695,567.172478,580.561425,574.459534
48,20000,12,0.612703,,0.612703,0.584626,0.597003,395.5818,380.4323,387.345736,567.172478,580.561425,573.899415
49,20000,12,0.616383,,0.616383,0.586873,0.598996,396.3662,380.4323,388.555404,564.827469,579.383954,573.155481
50,20000,12,0.616383,,0.616383,0.58946,0.601014,396.3662,382.9452,389.769572,564.827469,578.74145,572.395039
51,20000,12,0.616383,,0.616383,0.58946,0.603007,397.3291,382.9452,391.069846,564.827469,578.74145,571.711265
52,20000,12,0.616383,,0.616383,0.596056,0.605208,399.0182,385.4205,392.378006,564.827469,575.293528,570.871242
53,20000,12,0.616383,,0.616383,0.597832,0.606703,399.565,386.1998,393.309294,564.827469,574.975103,570.329664
54,20000,12,0.619961,,0.619961,0.597832,0.608921,402.4068,386.1998,394.421954,562.820931,574.975103,569.344977
55,20000,12,0.619961,,0.619961,0.597832,0.610468,402.7107,386.8228,395.297256,562.820931,574.975103,568.724652
56,20000,12,0.619961,,0.619961,0.599405,0.612581,402.7107,386.8228,396.367515,562.820931,574.815874,567.793793
57,20000,12,0.621128,,0.621128,0.599405,0.614169,404.4711,386.8228,397.202411,562.820931,573.228917,567.114922
58,20000,12,0.621272,,0.621272,0.59982,0.615335,404.4711,387.8137,398.049172,562.546326,573.228917,566.772352
59,20000,12,0.6254,,0.6254,0.606509,0.616911,404.6676,391.2829,399.075661,562.265077,571.70277,566.230968
60,20000,12,0.6254,,0.6254,0.606509,0.61828,405.6442,391.2829,399.684359,562.038549,570.159428,565.571008
61,20000,12,0.62689,,0.62689,0.611825,0.619593,405.6442,393.7775,400.351356,561.16888,570.159428,564.994004
62,20000,12,0.627747,,0.627747,0.613677,0.621026,405.7331,396.1295,401.149946,561.16888,569.563366,564.411612
63,20000,12,0.629044,,0.629044,0.615903,0.622551,407.0227,396.3662,402.121635,561.035652,568.14811,563.873419
64,20000,12,0.633365,,0.633365,0.61978,0.623791,409.6905,397.5334,403.003785,560.133259,567.411561,563.497338
65,20000,12,0.633698,,0.633698,0.619958,0.625029,409.6905,397.5334,403.80644,558.881092,567.411561,563.069423
66,20000,12,0.6363,,0.6363,0.619958,0.62655,411.3647,397.5334,404.866094,558.608325,566.644441,562.592723
67,20000,12,0.640665,,0.640665,0.621176,0.628034,413.4173,400.1738,405.481262,557.313665,566.051259,561.847693
68,20000,12,0.640665,,0.640665,0.621176,0.629533,413.4173,400.6904,406.16696,557.188405,565.995438,561.138083
69,20000,12,0.641914,,0.641914,0.623359,0.631103,414.7151,401.128,407.01305,557.188405,565.995438,560.480133
70,20000,12,0.642576,,0.642576,0.62545,0.633018,414.7151,401.7602,408.136635,555.571448,564.773009,559.739814
71,20000,12,0.645589,,0.645589,0.627189,0.635157,415.4187,403.1657,409.424911,554.2225,564.135886,558.934249
72,20000,12,0.646452,,0.646452,0.628175,0.63668,417.2558,403.1657,410.268497,553.727684,562.388311,558.311505
73,20000,12,0.65276,,0.65276,0.629319,0.637737,418.8423,403.3314,410.847248,551.514493,561.735549,557.875398
74,20000,12,0.65276,,0.65276,0.62999,0.639118,418.8423,403.3314,411.486092,551.514493,561.56829,557.225949
75,20000,12,0.656186,,0.656186,0.631287,0.640264,420.4826,403.6277,412.185724,549.941616,561.56829,556.800966
76,20000,12,0.656186,,0.656186,0.631287,0.641441,420.4826,403.6277,412.757388,549.941616,561.56829,556.266282
77,20000,12,0.658159,,0.658159,0.631743,0.642693,421.5953,405.5116,413.446503,549.148526,560.063051,555.750912
78,20000,12,0.658159,,0.658159,0.633283,0.644381,421.5953,405.6118,414.349967,549.148526,559.116739,555.03993
79,20000,12,0.658159,,0.658159,0.635049,0.645782,421.5953,408.7891,415.034937,549.148526,559.116739,554.406591
80,20000,12,0.658159,,0.658159,0.635377,0.647458,423.2077,408.7891,415.980767,549.148526,558.859676,553.732929
81,20000,12,0.658849,,0.658849,0.640031,0.649291,423.2077,408.7891,416.799332,548.772647,557.642152,552.85184
82,20000,12,0.661425,,0.661425,0.640875,0.651428,423.2077,409.7243,417.741142,546.30933,555.982567,551.815449
83,20000,12,0.66276,,0.66276,0.64399,0.65314,424.3592,412.3245,418.686871,546.30933,555.823613,551.113843
84,20000,12,0.664651,,0.664651,0.64399,0.654552,424.3592,413.3393,419.532753,545.710494,555.823613,550.579552
85,20000,12,0.665119,,0.665119,0.64399,0.655528,425.3567,413.3393,420.007584,545.397354,555.65499,550.136185
86,20000,12,0.665986,,0.665986,0.644153,0.656554,427.9627,413.3393,420.576151,545.034719,555.65499,549.717313
87,20000,12,0.665986,,0.665986,0.644153,0.658035,427.9627,413.3393,421.407985,544.922977,554.753407,549.119498
88,20000,12,0.666017,,0.666017,0.648305,0.659134,427.9627,414.1141,421.972916,544.772982,553.808493,548.641062
89,20000,12,0.668314,,0.668314,0.648766,0.660344,427.9627,414.1141,422.645837,544.47271,553.526467,548.148014
90,20000,12,0.668314,,0.668314,0.650322,0.661237,427.9627,414.1141,422.962939,544.47271,551.984193,547.663735
91,20000,12,0.670599,,0.670599,0.650322,0.662184,427.9627,414.1141,423.54585,543.485794,551.331813,547.315606
92,20000,12,0.670599,,0.670599,0.650322,0.663102,427.9627,414.1141,424.077307,543.485794,551.331813,546.956286
93,20000,12,0.671614,,0.671614,0.656186,0.664034,428.3258,420.4826,424.643146,543.05657,549.961544,546.607795
94,20000,12,0.671614,,0.671614,0.656186,0.664853,428.3258,420.4826,425.027286,543.05657,549.961544,546.22677
95,20000,12,0.671614,,0.671614,0.658658,0.665587,428.3258,421.9849,425.369616,543.05657,549.020338,545.883518
