gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,20000,24,0.50897,,0.50897,0.373691,0.429332,333.88,251.1444,283.026364,606.737163,656.81378,634.778171
1,20000,24,0.50897,,0.50897,0.388613,0.444393,333.88,258.242,291.716256,605.235585,650.287945,628.853658
2,20000,24,0.50897,,0.50897,0.389043,0.455217,333.88,259.2752,298.113562,605.148924,650.287945,624.697558
3,20000,24,0.50897,,0.50897,0.415037,0.462653,333.88,273.9232,302.783723,604.01997,644.181039,622.0272
4,20000,24,0.50897,,0.50897,0.420002,0.46787,333.88,276.0309,306.109741,603.698286,644.181039,620.186754
5,20000,24,0.509006,,0.509006,0.424703,0.474568,337.0121,280.8657,310.232332,600.684976,641.404065,617.724341
6,20000,24,0.526722,,0.526722,0.450605,0.481806,346.3445,291.1446,315.276592,600.684976,630.435115,615.459337
7,20000,24,0.526722,,0.526722,0.454134,0.488008,346.3445,295.8704,319.260934,600.684976,630.435115,613.291152
8,20000,24,0.526722,,0.526722,0.457511,0.493829,346.3445,297.935,322.845361,597.986601,626.999955,611.153138
9,20000,24,0.530625,,0.530625,0.466973,0.499164,346.3445,301.7844,326.166779,597.122576,623.731595,609.217783
10,20000,24,0.535214,,0.535214,0.470288,0.503122,348.3697,307.4498,328.937747,595.798056,623.731595,607.98742
11,20000,24,0.535214,,0.535214,0.478658,0.506716,348.3697,310.4584,331.271366,595.798056,620.579759,606.747471
12,20000,24,0.538707,,0.538707,0.478658,0.511406,351.2936,314.8063,334.06142,595.21127,620.579759,604.959265
13,20000,24,0.541579,,0.541579,0.483966,0.514684,352.6307,320.8479,335.956489,593.867588,618.396649,603.672128
14,20000,24,0.541579,,0.541579,0.487958,0.517788,352.6307,322.9369,338.083205,593.867588,617.603872,602.676184
15,20000,24,0.541831,,0.541831,0.498359,0.521781,352.9981,320.2277,340.638552,593.784559,613.143,601.27365
16,20000,24,0.545734,,0.545734,0.498359,0.525169,355.0304,325.9402,342.712548,592.234352,613.143,600.020589
17,20000,24,0.559462,,0.559462,0.498359,0.52924,364.1713,328.5756,345.419095,587.367434,613.143,598.659038
18,20000,24,0.562548,,0.562548,0.511251,0.532531,365.6399,328.6161,347.324252,586.228785,605.555056,597.369083
19,20000,24,0.569125,,0.569125,0.515275,0.536129,368.7625,333.2721,349.756661,583.191582,604.493979,596.192075
20,20000,24,0.569125,,0.569125,0.516127,0.540111,368.7625,335.1957,352.395065,583.191582,603.555303,594.854419
21,20000,24,0.569125,,0.569125,0.527117,0.543288,369.0428,338.7542,354.218261,583.01444,601.536817,593.598248
22,20000,24,0.569125,,0.569125,0.528107,0.546841,369.0428,343.7508,356.494873,583.01444,599.366717,592.352524
23,20000,24,0.570821,,0.570821,0.53329,0.550023,370.1024,344.776,358.311428,582.766425,597.05953,591.087551
24,20000,24,0.57309,,0.57309,0.535103,0.553254,371.4203,346.8688,360.194606,581.879912,597.05953,589.829657
25,20000,24,0.57309,,0.57309,0.535994,0.556081,371.4203,347.2939,361.733246,579.471049,597.05953,588.655256
26,20000,24,0.57309,,0.57309,0.542813,0.558736,373.5739,351.5791,363.469985,579.471049,595.243356,587.748536
27,20000,24,0.578167,,0.578167,0.548183,0.561879,373.8643,357.0715,365.083023,578.775246,594.734766,586.377651
28,20000,24,0.578167,,0.578167,0.548183,0.565136,373.8643,357.0715,366.694569,578.775246,593.04079,584.917266
29,20000,24,0.578167,,0.578167,0.548183,0.567715,378.7099,356.9128,368.243604,578.775246,593.04079,583.943661
30,20000,24,0.589283,,0.589283,0.554492,0.569655,379.6851,358.1341,369.501255,574.787329,589.727819,583.272646
31,20000,24,0.589283,,0.589283,0.558619,0.572383,380.7232,361.0641,370.774307,574.787329,588.101991,581.998424
32,20000,24,0.589283,,0.589283,0.55905,0.575127,382.0544,361.1569,372.5164,574.787329,587.071831,581.025678
33,20000,24,0.597966,,0.597966,0.564894,0.577666,384.9876,366.625,374.043627,571.568289,587.071831,580.068357
34,20000,24,0.597966,,0.597966,0.567826,0.580051,385.7838,367.5178,375.502557,571.568289,586.425163,579.185535
35,20000,24,0.597966,,0.597966,0.572652,0.582658,385.7838,368.3897,377.227444,570.491888,586.425163,578.308249
36,20000,24,0.597966,,0.597966,0.573221,0.584149,387.4705,368.5521,378.151037,570.491888,585.906328,577.764262
37,20000,24,0.597966,,0.597966,0.575107,0.585907,387.4705,368.5521,379.326647,570.491888,585.906328,577.180423
38,20000,24,0.604473,,0.604473,0.576407,0.588062,389.0218,368.5521,380.461833,569.196057,583.412685,576.260286
39,20000,24,0.604473,,0.604473,0.579503,0.59053,389.0218,373.1053,382.091888,569.027228,583.412685,575.427273
40,20000,24,0.604473,,0.604473,0.582518,0.592621,394.055,375.6658,383.401794,567.779636,582.284011,574.674353
41,20000,24,0.60799,,0.60799,0.584529,0.595163,394.055,377.4231,384.883622,566.785318,580.397833,573.684707
42,20000,24,0.60799,,0.60799,0.585756,0.597559,394.7574,377.4231,386.159458,566.785318,580.397833,572.670848
43,20000,24,0.613368,,0.613368,0.59065,0.599882,397.7876,379.0533,387.636937,565.748298,579.626232,571.848846
44,20000,24,0.613368,,0.613368,0.59065,0.601307,397.7876,379.0533,388.540171,565.748298,578.803883,571.342703
45,20000,24,0.614196,,0.614196,0.59065,0.603362,399.0116,380.7769,389.906178,565.748298,577.133249,570.654688
46,20000,24,0.625729,,0.625729,0.592873,0.605298,406.4969,382.5173,391.116463,564.326309,576.389779,569.955948
