gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,20000,32,0.501261,,0.501261,0.37078,0.428943,326.5908,249.5993,282.656587,607.812746,658.049046,634.833216
1,20000,32,0.501261,,0.501261,0.389043,0.440121,326.5908,258.4469,288.755189,607.601232,651.21784,630.201292
2,20000,32,0.501261,,0.501261,0.397715,0.448707,326.5908,265.6959,293.902838,607.601232,647.825803,626.953365
3,20000,32,0.514926,,0.514926,0.406845,0.457249,334.7109,273.839,298.132835,602.648528,646.161139,623.125315
4,20000,32,0.51752,,0.51752,0.411517,0.466115,334.7109,270.0545,303.307107,599.812678,641.361187,619.677185
5,20000,32,0.51752,,0.51752,0.422407,0.474561,333.4982,277.635,309.076451,599.812678,638.703353,616.955178
6,20000,32,0.520767,,0.520767,0.430796,0.480929,336.9072,282.1539,313.589642,599.564585,633.261906,615.013112
7,20000,32,0.520767,,0.520767,0.449668,0.486599,336.9072,285.5311,316.917755,599.295635,625.196497,612.820566
8,20000,32,0.528626,,0.528626,0.4517,0.491315,342.0338,295.648,319.8078,596.869739,625.816745,611.078678
9,20000,32,0.528795,,0.528795,0.453361,0.49721,344.9064,296.6976,323.218995,598.662912,625.196497,608.766534
10,20000,32,0.54519,,0.54519,0.470631,0.503168,358.2798,304.619,326.769038,594.835864,620.559919,606.498114
11,20000,32,0.54519,,0.54519,0.477241,0.506849,358.2798,315.9242,328.738444,593.77902,620.559919,604.946239
12,20000,32,0.54519,,0.54519,0.481742,0.51026,358.2798,315.4157,330.79686,593.77902,616.147336,603.664812
13,20000,32,0.550027,,0.550027,0.483961,0.514881,360.9286,315.4157,333.343969,592.309619,614.925864,601.767302
14,20000,32,0.551684,,0.551684,0.484884,0.519823,366.128,315.6842,336.445863,589.505932,614.925864,599.991097
15,20000,32,0.556824,,0.556824,0.498318,0.523735,370.6646,323.7515,339.161392,587.823648,609.249363,598.760019
16,20000,32,0.556824,,0.556824,0.500542,0.527617,370.6646,326.6047,341.84357,587.823648,608.435921,597.529513
17,20000,32,0.556824,,0.556824,0.505433,0.531814,370.6646,326.7795,345.05509,587.823648,606.841106,596.407899
18,20000,32,0.556824,,0.556824,0.511546,0.535339,370.6646,327.465,348.001603,587.427666,605.009164,595.632345
19,20000,32,0.562358,,0.562358,0.516854,0.539425,370.6646,330.9434,351.435144,585.813944,604.776778,594.74596
20,20000,32,0.562358,,0.562358,0.520139,0.543187,370.6646,332.9644,354.158506,585.813944,602.093786,593.637179
21,20000,32,0.569135,,0.569135,0.520694,0.5467,372.1664,332.9644,356.571675,584.370723,601.109434,592.513474
22,20000,32,0.569135,,0.569135,0.52755,0.55003,372.1664,335.7803,359.016464,583.848235,598.583337,591.554625
23,20000,32,0.57314,,0.57314,0.528682,0.552659,372.1664,335.7803,361.146288,581.892048,598.583337,590.930987
24,20000,32,0.575376,,0.575376,0.528682,0.555273,376.1954,335.7803,362.560552,580.995415,597.947588,589.839784
