gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,55000,8,0.524765,,0.524765,0.355582,0.437169,336.798,239.3797,287.718039,596.372437,665.213349,631.809173
1,55000,8,0.524765,,0.524765,0.391707,0.451238,336.798,259.1235,295.744177,596.372437,650.938766,626.213673
2,55000,8,0.524765,,0.524765,0.400879,0.462069,336.798,270.5404,302.226074,596.372437,649.361216,622.108891
3,55000,8,0.527876,,0.527876,0.402244,0.470303,343.0494,270.5404,306.750164,596.372437,647.539695,618.717659
4,55000,8,0.529692,,0.529692,0.413672,0.479494,349.5226,273.0587,312.63715,596.372437,640.312974,615.493576
5,55000,8,0.529692,,0.529692,0.431005,0.488671,349.5226,281.5258,317.832213,594.059094,636.040503,611.817203
6,55000,8,0.537115,,0.537115,0.451736,0.496486,349.5226,294.3829,322.500494,589.038242,628.665484,608.849445
7,55000,8,0.538616,,0.538616,0.464978,0.502607,349.5226,298.8173,326.537491,589.038242,622.167427,606.780468
8,55000,8,0.547837,,0.547837,0.469217,0.507814,354.1425,302.6796,329.804514,587.501383,622.167427,604.908286
9,55000,8,0.547837,,0.547837,0.473712,0.512288,355.0651,305.0806,331.944816,586.819667,619.623744,602.852907
10,55000,8,0.547837,,0.547837,0.475924,0.517476,355.0651,312.1838,335.080245,586.819667,617.974299,600.906654
11,55000,8,0.547837,,0.547837,0.484232,0.522314,355.0651,310.2814,337.906152,586.234073,613.065239,599.026961
12,55000,8,0.549586,,0.549586,0.487244,0.525568,355.0651,317.8375,340.224358,586.234073,612.933913,598.042021
13,55000,8,0.549586,,0.549586,0.494114,0.529406,355.0651,321.3853,342.218253,584.341609,610.756733,596.38479
14,55000,8,0.55755,,0.55755,0.50586,0.533608,360.3407,327.7147,345.167708,584.323248,608.234499,595.083447
15,55000,8,0.55755,,0.55755,0.510937,0.536726,361.4975,328.0565,346.475311,584.323248,608.234499,593.527734
16,55000,8,0.55755,,0.55755,0.517388,0.5403,361.4975,332.5869,348.63008,584.323248,604.995728,592.183967
17,55000,8,0.55755,,0.55755,0.518218,0.542937,364.6851,340.7595,350.625042,584.323248,604.150869,591.464103
18,55000,8,0.561483,,0.561483,0.518218,0.545101,364.9685,339.5034,352.024453,582.311448,604.150869,590.713876
19,55000,8,0.562595,,0.562595,0.520205,0.547952,366.3465,340.9848,353.970761,582.311448,602.735338,589.794255
20,55000,8,0.562595,,0.562595,0.527779,0.549994,366.649,343.3292,355.476502,582.391234,599.461042,589.210942
21,55000,8,0.568786,,0.568786,0.534067,0.552302,369.2688,344.4053,356.905123,581.027632,598.135495,588.367757
22,55000,8,0.568786,,0.568786,0.536205,0.554493,369.2688,346.7059,358.202981,579.034307,596.1429,587.528617
23,55000,8,0.568786,,0.568786,0.541569,0.556681,369.2688,346.7059,359.750141,579.034307,595.711495,586.858151
24,55000,8,0.57557,,0.57557,0.543208,0.558202,374.4784,346.8257,361.052015,579.034307,595.711495,586.544483
