gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,37500,8,0.495863,,0.495863,0.360774,0.427387,320.4927,240.8586,281.415766,605.097312,659.99612,635.215993
1,37500,8,0.495863,,0.495863,0.381565,0.437804,320.4927,254.6276,287.246969,605.097312,657.294108,630.998126
2,37500,8,0.495863,,0.495863,0.394043,0.446597,320.4927,261.9244,292.062318,605.097312,651.667483,627.365921
3,37500,8,0.503346,,0.503346,0.412852,0.456442,325.429,266.7057,297.912906,605.097312,641.284809,623.607727
4,37500,8,0.503346,,0.503346,0.419199,0.464685,325.429,278.1764,302.721753,605.097312,640.308099,620.400393
5,37500,8,0.505361,,0.505361,0.420244,0.470791,327.4467,280.7008,306.872346,605.241115,640.308099,618.418922
6,37500,8,0.511804,,0.511804,0.450388,0.47749,329.9954,292.8785,310.750392,601.923551,630.363736,615.792211
7,37500,8,0.524336,,0.524336,0.450717,0.483584,337.7195,294.8924,314.516051,597.324476,627.638648,613.562632
8,37500,8,0.524772,,0.524772,0.456833,0.48781,337.7195,294.8924,316.943016,595.270402,622.602542,611.89258
9,37500,8,0.524772,,0.524772,0.473939,0.491059,337.7195,303.7524,319.042881,595.270402,619.157356,610.765376
10,37500,8,0.526719,,0.526719,0.475246,0.493806,340.0756,304.9747,320.997252,595.270402,617.510245,609.932804
11,37500,8,0.526719,,0.526719,0.477439,0.497248,340.0756,304.9747,323.408214,595.270402,617.276463,608.863353
12,37500,8,0.530647,,0.530647,0.477561,0.500215,344.6541,307.1582,325.297018,595.270402,617.121796,607.8147
13,37500,8,0.530647,,0.530647,0.483072,0.503045,344.6541,312.8111,326.966781,595.270402,616.889537,606.726274
14,37500,8,0.536908,,0.536908,0.48476,0.506701,347.1401,315.6651,329.110174,593.831431,616.889537,605.311138
15,37500,8,0.536908,,0.536908,0.485833,0.509686,347.1401,316.0835,330.963683,593.831431,617.977417,604.225067
16,37500,8,0.536908,,0.536908,0.49007,0.513203,347.1401,316.9185,333.040539,593.831431,614.366433,602.872984
17,37500,8,0.536908,,0.536908,0.495479,0.517029,350.2172,322.762,335.650708,593.831431,614.366433,601.637721
18,37500,8,0.549082,,0.549082,0.495682,0.520046,354.3195,322.762,337.653222,589.146517,614.366433,600.626698
19,37500,8,0.549082,,0.549082,0.503622,0.523365,356.6216,323.9697,339.971165,589.146517,608.082592,599.59112
20,37500,8,0.553785,,0.553785,0.503622,0.526427,360.0552,324.4614,341.992256,588.912361,605.368528,598.556885
21,37500,8,0.553785,,0.553785,0.508289,0.529703,360.0552,328.3662,344.116059,588.912361,605.368528,597.42499
22,37500,8,0.563505,,0.563505,0.518874,0.533163,364.7018,335.4965,346.345729,584.853899,603.480258,596.219899
23,37500,8,0.563664,,0.563664,0.518874,0.536577,369.6931,335.4965,348.580195,584.853899,603.480258,595.054412
24,37500,8,0.569822,,0.569822,0.518874,0.539841,369.6931,335.4965,350.773677,581.710885,602.635738,593.978709
25,37500,8,0.571062,,0.571062,0.520478,0.543362,369.6931,336.5009,352.886546,579.428691,600.811857,592.648123
26,37500,8,0.571062,,0.571062,0.520855,0.546706,369.6931,337.0429,354.996041,579.428691,600.811857,591.453284
27,37500,8,0.582847,,0.582847,0.52087,0.550113,372.7248,337.0429,357.001956,575.143156,599.919519,590.140339
28,37500,8,0.582847,,0.582847,0.534701,0.553931,373.9677,346.415,359.635032,575.071867,598.534522,588.926316
29,37500,8,0.582847,,0.582847,0.534701,0.556915,373.9677,346.415,361.189596,575.143156,598.534522,587.640763
30,37500,8,0.582847,,0.582847,0.534701,0.559798,377.3886,346.415,362.816653,575.143156,595.747116,586.48199
31,37500,8,0.583753,,0.583753,0.544119,0.562869,377.3886,350.5204,364.488477,574.88178,595.747116,585.207192
32,37500,8,0.587902,,0.587902,0.545784,0.565896,377.3886,351.3032,365.967872,573.46329,595.747116,583.837446
33,37500,8,0.588301,,0.588301,0.55127,0.568753,377.3886,356.8959,367.690839,573.426557,591.744459,582.763773
34,37500,8,0.588301,,0.588301,0.55127,0.57177,377.3886,356.8959,369.227438,573.426557,591.047035,581.440013
35,37500,8,0.588301,,0.588301,0.554316,0.573701,377.3886,356.8959,370.387982,573.426557,589.288274,580.711475
36,37500,8,0.591105,,0.591105,0.557895,0.576035,378.0541,359.5559,371.605759,571.894775,587.799681,579.706633
