gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,57500,8,0.524734,19,0.524734,0.366576,0.430527,334.1772,243.6678,283.521934,594.640738,660.429802,634.177847
1,57500,8,0.524734,17,0.524734,0.358114,0.440435,334.1772,241.2743,289.00888,594.640738,662.349857,630.126545
2,57500,8,0.524734,21,0.524734,0.375786,0.449879,334.1772,247.8044,294.795928,594.640738,652.941347,626.638296
3,57500,8,0.525133,21,0.525133,0.40359,0.457766,334.1772,266.8587,299.123522,592.32842,647.01264,623.385976
4,57500,8,0.534258,29,0.534258,0.399389,0.462581,342.4392,268.0487,301.360524,592.32842,648.09706,621.129599
5,57500,8,0.534258,36,0.534258,0.399389,0.468959,342.4392,268.0487,304.521455,592.32842,648.09706,618.273074
6,57500,8,0.534258,42,0.525133,0.422383,0.477589,334.1585,276.2492,309.17223,592.32842,635.656877,614.657872
7,57500,8,0.534258,39,0.525133,0.422383,0.480216,334.1585,276.2492,311.046981,592.32842,637.007067,613.864924
8,57500,8,0.534258,46,0.525133,0.370525,0.48402,336.7562,246.603,313.383789,592.32842,656.239594,612.463811
9,57500,8,0.534258,47,0.525709,0.380921,0.486393,335.3858,250.8973,314.818636,592.302306,651.008491,611.574041
10,57500,8,0.534258,45,0.528812,0.421331,0.491844,342.1143,275.0706,318.094781,592.302306,635.687678,609.518052
11,57500,8,0.534258,47,0.528812,0.424861,0.495467,343.285,275.8782,319.919517,592.32842,633.475435,607.914684
12,57500,8,0.543801,46,0.543801,0.444227,0.497791,346.3648,279.7021,321.224389,587.935274,625.768234,606.976544
13,57500,8,0.543801,50,0.543801,0.394856,0.499474,348.2356,258.8688,321.931658,587.935274,645.480982,606.137473
14,57500,8,0.543801,50,0.543801,0.417579,0.504571,351.3919,275.8495,324.873265,587.935274,639.135627,604.132876
15,57500,8,0.544932,50,0.544932,0.464855,0.507961,348.5196,308.4636,326.531808,587.935274,624.19085,602.600063
16,57500,8,0.547131,50,0.547131,0.4775,0.511318,349.3776,309.772,327.932683,585.78886,617.835067,600.920755
17,57500,8,0.547131,50,0.547131,0.478083,0.514064,349.3776,309.3747,329.005349,585.78886,615.443664,599.497356
18,57500,8,0.554348,48,0.554348,0.478083,0.517103,354.7421,309.3747,330.659089,585.322544,618.012608,598.235451
19,57500,8,0.554488,45,0.554488,0.476803,0.521778,354.3743,306.0246,333.67584,584.966902,614.29482,596.610322
20,57500,8,0.554488,47,0.554398,0.452525,0.522615,354.3743,299.6643,334.169839,585.036702,627.836661,596.288719
21,57500,8,0.556854,43,0.556854,0.495398,0.526223,354.3743,316.3126,336.2982,582.408265,610.020699,594.900901
22,57500,8,0.556854,47,0.555892,0.480072,0.528835,354.7709,313.3996,337.513596,582.854773,615.554176,593.677464
23,57500,8,0.556854,50,0.555892,0.501922,0.531358,358.0355,316.8901,338.355806,582.854773,601.555357,592.273771
24,57500,8,0.557153,50,0.557153,0.484826,0.533024,359.9429,310.0225,339.47105,583.677338,609.58312,591.722031
25,57500,8,0.566829,50,0.566829,0.473426,0.535577,359.9429,303.2853,341.277656,578.149309,613.96022,590.941102
26,57500,8,0.566829,50,0.56553,0.482339,0.538188,363.2108,308.15,343.332081,582.275543,610.267887,590.281324
27,57500,8,0.566829,50,0.561084,0.506666,0.539079,361.8201,320.7161,343.786277,582.853194,601.772134,589.890521
28,57500,8,0.569761,50,0.569761,0.429711,0.539351,367.9283,280.5871,344.005809,582.136568,632.847779,589.825641
29,57500,8,0.569761,50,0.569761,0.508133,0.543211,367.9283,319.2585,346.999115,581.228311,599.324714,588.820316
30,57500,8,0.57955,50,0.57955,0.423634,0.544237,371.9463,278.1032,347.850221,577.193001,635.923053,588.59094
31,57500,8,0.57955,50,0.57955,0.481394,0.54791,371.9463,317.6267,349.708371,577.193001,617.354971,586.971118
32,57500,8,0.582516,50,0.582516,0.511205,0.549582,371.9463,322.4652,350.597767,572.840852,603.309627,586.262506
33,57500,8,0.582516,50,0.582516,0.451708,0.551161,371.9463,297.6398,351.697824,572.840852,627.116757,585.768038
34,57500,8,0.582516,50,0.582516,0.478774,0.553263,371.9463,314.2019,353.183466,572.840852,617.103874,585.124282
35,57500,8,0.582516,50,0.582516,0.48817,0.555442,371.9463,320.2614,354.680046,572.840852,613.835178,584.427189
36,57500,8,0.582516,50,0.582516,0.529772,0.55871,371.9463,331.6146,356.833511,572.840852,593.712055,583.321723
37,57500,8,0.582516,50,0.582516,0.515582,0.559887,372.7458,331.6146,357.547437,572.797015,600.087923,582.881598
38,57500,8,0.587196,50,0.587196,0.500512,0.560465,375.395,325.4749,358.067178,570.460991,607.702524,582.778837
39,57500,8,0.587196,50,0.586007,0.532425,0.563438,375.395,340.5431,359.273276,570.372551,593.460952,581.268352
40,57500,8,0.58721,50,0.58721,0.487818,0.563723,375.4162,324.783,359.929351,570.372551,617.139688,581.48614
41,57500,8,0.58958,50,0.58958,0.48306,0.565129,375.395,320.1552,360.856116,567.912314,617.75008,581.010353
42,57500,8,0.58958,50,0.58958,0.490239,0.566358,375.395,320.8163,361.512386,567.912314,612.593196,580.491331
43,57500,8,0.58958,50,0.587742,0.523985,0.568112,375.395,340.8682,362.834567,569.36224,599.7085,580.009088
44,57500,8,0.58958,50,0.586817,0.466338,0.567204,375.395,309.2442,362.153922,568.86734,623.481827,580.260961
45,57500,8,0.58958,50,0.586817,0.468309,0.567817,377.0537,310.6693,362.985575,569.122282,622.899553,580.340521
46,57500,8,0.590698,50,0.590698,0.507412,0.570518,376.8007,328.0545,364.648687,569.36224,604.04892,579.347808
47,57500,8,0.590698,50,0.590698,0.491614,0.571972,378.6248,322.8483,365.630521,569.36224,612.882884,578.871709
48,57500,8,0.594836,50,0.594836,0.491614,0.573326,379.5518,322.8483,366.729177,569.36224,612.882884,578.551803
49,57500,8,0.597857,50,0.597857,0.512501,0.574998,380.8685,330.638,367.515671,568.664569,601.810788,577.774766
50,57500,8,0.599652,50,0.599652,0.48806,0.576943,381.8383,320.8596,368.548749,568.142454,614.321993,576.949925
51,57500,8,0.599652,50,0.599652,0.48806,0.577988,381.8383,320.8596,369.006723,568.142454,614.321993,576.442237
52,57500,8,0.600501,50,0.600501,0.498932,0.580365,382.2087,330.3553,370.368522,567.728148,612.204907,575.500116
53,57500,8,0.600501,50,0.600501,0.531505,0.581999,382.2087,342.8812,371.392242,567.728148,595.192091,574.911802
54,57500,8,0.600501,50,0.600501,0.489613,0.581938,382.2087,322.6052,371.173522,567.728148,614.280767,574.812972
55,57500,8,0.600501,50,0.600501,0.527461,0.585704,382.2087,342.4348,372.941074,566.806413,598.046826,573.060173
56,57500,8,0.600501,50,0.600501,0.527461,0.587292,382.2087,342.4348,373.550566,566.806413,598.046826,572.229792
57,57500,8,0.600501,50,0.600501,0.524332,0.58809,382.2087,339.6838,373.867976,566.806413,598.643858,571.819626
58,57500,8,0.600681,50,0.600681,0.524332,0.587975,382.2087,339.6838,373.811747,566.806413,598.643858,571.87218
59,57500,8,0.600681,50,0.600501,0.524332,0.588771,382.2087,339.6838,374.258818,566.806413,598.643858,571.550868
60,57500,8,0.603528,50,0.603528,0.54244,0.591294,383.1622,350.1526,375.84827,566.006535,591.535131,570.647943
61,57500,8,0.603708,50,0.603708,0.498813,0.591061,383.8164,328.4131,375.942131,566.006535,610.996187,570.892053
62,57500,8,0.603708,50,0.603528,0.576261,0.593373,383.1622,366.5757,377.117394,565.956466,577.431135,569.876911
63,57500,8,0.603708,50,0.603708,0.56927,0.593851,383.8164,362.5243,377.272837,565.956466,578.89835,569.608235
