gen,fitness
0,561
1,561
2,561
3,561
4,572
5,572
6,573
7,581
8,586
9,592
10,597
11,597
12,597
13,597
14,598
15,598
16,601
17,605
18,606
19,614
20,614
21,614
22,614
23,615
24,621
25,621
26,621
27,623
28,629
29,635
30,635
31,635
32,637
33,638
34,640
35,640
36,647
37,647
38,647
39,647
40,649
41,649
42,651
43,653
44,658
45,658
46,661
47,661
48,661
49,667
50,667
51,667
52,672
53,672
54,674
55,674
56,678
57,678
58,679
59,680
60,686
61,686
62,688
63,688
64,689
65,692
66,695
67,695
68,695
69,696
70,697
71,699
72,706
73,707
74,710
75,710
76,710
77,715
78,715
79,720
80,726
81,726
82,726
83,727
84,729
85,731
86,731
87,731
88,732
89,734
90,735
91,745
92,745
93,745
94,745
95,745
96,746
97,749
98,749
99,754
100,756
101,756
102,757
103,757
104,757
105,758
106,759
107,761
108,761
109,764
110,764
111,767
112,768
113,768
114,770
115,770
116,773
117,773
118,774
119,777
120,777
121,779
122,779
123,779
124,783
125,786
126,787
127,788
128,788
129,789
130,790
131,793
132,795
133,796
134,799
135,799
136,802
137,802
138,803
139,804
140,804
141,805
142,808
143,808
144,808
145,808
146,810
147,812
148,815
149,818
150,818
151,820
152,820
153,820
154,822
155,822
156,825
157,825
158,825
159,826
160,826
161,828
162,829
163,834
164,834
165,834
166,834
167,834
168,834
169,836
170,836
171,837
172,840
173,840
174,840
175,843
176,843
177,845
178,847
179,848
180,849
181,849
182,850
183,852
184,854
185,854
186,854
187,857
188,857
189,857
190,861
191,861
192,862
193,863
194,863
195,863
196,863
197,865
198,866
199,866
