gen,fitness,picos
0,559,1
1,561,0
2,562,0
3,571,0
4,571,0
5,578,0
6,578,0
7,578,0
8,578,0
9,582,0
10,584,0
11,584,0
12,586,0
13,591,0
14,592,0
15,600,0
16,600,0
17,601,0
18,603,0
19,605,0
20,605,0
21,608,0
22,615,0
23,615,0
24,618,0
25,624,0
26,624,0
27,624,0
28,624,0
29,631,0
30,631,0
31,639,0
32,639,0
33,639,0
34,639,0
35,641,0
36,645,0
37,645,0
38,650,0
39,650,0
40,650,0
41,653,0
42,653,0
43,653,0
44,655,0
45,662,0
46,665,0
47,665,0
48,672,0
49,672,0
50,673,0
51,673,0
52,673,0
53,673,0
54,674,0
55,678,0
56,680,0
57,680,0
58,684,0
59,684,0
60,684,0
61,688,0
62,690,0
63,690,0
64,690,0
65,693,0
66,694,0
67,697,0
68,703,0
69,703,0
70,706,0
71,710,0
72,710,0
73,710,0
74,710,0
75,710,0
76,711,0
77,714,0
78,715,0
79,716,0
80,721,0
81,722,0
82,722,0
83,722,0
84,724,0
85,725,0
86,726,0
87,729,0
88,732,0
89,733,0
90,735,0
91,735,0
92,737,0
93,740,0
94,740,0
95,743,0
96,743,0
97,748,0
98,750,0
99,753,0
100,755,0
101,755,0
102,756,0
103,756,0
104,761,0
105,761,0
106,762,0
107,762,0
108,770,0
109,770,0
110,771,0
111,771,0
112,772,0
113,772,0
114,773,0
115,773,0
116,775,0
117,780,0
118,780,0
119,780,0
120,782,0
121,782,0
122,782,0
123,783,0
124,783,0
125,786,0
126,788,0
127,791,0
128,791,0
129,791,0
130,791,0
131,793,0
132,796,0
133,797,0
134,799,0
135,801,0
136,801,0
137,803,0
138,803,0
139,803,0
140,803,0
141,806,0
142,806,0
143,809,0
144,809,0
145,811,0
146,811,0
147,812,0
148,816,0
149,817,0
150,817,0
151,817,0
152,817,0
153,818,0
154,818,0
155,819,0
156,820,0
157,820,0
158,823,0
159,823,0
160,827,0
161,827,0
162,827,0
163,829,0
164,831,0
165,831,0
166,831,0
167,833,0
168,836,0
169,836,0
170,837,0
171,837,0
172,837,0
173,842,0
174,842,0
175,842,0
176,842,0
177,842,0
178,843,0
179,846,0
180,846,0
181,846,0
182,847,0
183,848,0
184,848,0
185,849,0
186,852,0
187,852,0
188,852,0
189,852,0
190,856,0
191,856,0
192,860,0
193,860,0
194,860,0
195,864,0
196,864,0
197,864,0
198,864,0
199,864,0
