gen,fitness
0,559
1,559
2,574
3,581
4,581
5,581
6,581
7,582
8,584
9,584
10,591
11,594
12,594
13,594
14,594
15,600
16,600
17,603
18,604
19,610
20,611
21,611
22,613
23,626
24,626
25,626
26,626
27,627
28,627
29,627
30,629
31,633
32,637
33,637
34,639
35,641
36,645
37,645
38,646
39,654
40,658
41,658
42,659
43,661
44,661
45,663
46,667
47,672
48,672
49,672
50,672
51,672
52,672
53,678
54,678
55,679
56,680
57,681
58,682
59,684
60,685
61,690
62,690
63,691
64,691
65,691
66,693
67,696
68,699
69,700
70,700
71,700
72,704
73,708
74,708
75,708
76,714
77,714
78,714
79,717
80,717
81,718
82,721
83,723
84,724
85,724
86,726
87,726
88,730
89,731
90,731
91,733
92,733
93,738
94,738
95,743
96,743
97,744
98,744
99,746
100,750
101,754
102,754
103,754
104,756
105,756
106,757
107,762
108,762
109,762
110,765
111,765
112,769
113,769
114,769
115,769
116,770
117,770
118,771
119,776
120,776
121,778
122,778
123,779
124,781
125,781
126,784
127,785
128,787
129,787
130,788
131,791
132,791
133,791
134,793
135,793
136,794
137,797
138,799
139,799
140,802
141,802
142,802
143,803
144,805
145,805
146,805
147,807
148,807
149,811
150,811
151,811
152,813
153,817
154,817
155,817
156,817
157,820
158,820
159,820
160,824
161,824
162,824
163,825
164,825
165,829
166,829
167,831
168,833
169,833
170,834
171,838
172,838
173,838
174,838
175,839
176,839
177,841
178,841
179,845
180,845
181,845
182,845
183,845
184,845
185,848
186,848
187,850
188,850
189,852
190,852
191,854
192,854
193,855
194,855
195,855
196,857
197,857
198,858
199,858
