gen,fitness
0,554
1,560
2,565
3,565
4,572
5,573
6,573
7,578
8,578
9,584
10,584
11,592
12,592
13,592
14,594
15,596
16,597
17,598
18,605
19,607
20,609
21,609
22,609
23,612
24,613
25,616
26,619
27,620
28,625
29,626
30,628
31,635
32,635
33,641
34,642
35,646
36,646
37,646
38,647
39,647
40,651
41,651
42,652
43,652
44,655
45,658
46,658
47,661
48,661
49,670
50,670
51,670
52,670
53,672
54,673
55,678
56,678
57,678
58,678
59,688
60,690
61,690
62,694
63,694
64,696
65,696
66,697
67,699
68,699
69,699
70,700
71,702
72,703
73,708
74,709
75,709
76,709
77,711
78,714
79,715
80,715
81,717
82,719
83,723
84,725
85,725
86,728
87,728
88,728
89,732
90,736
91,736
92,739
93,739
94,741
95,745
96,745
97,745
98,745
99,747
100,747
101,750
102,752
103,752
104,755
105,759
106,759
107,759
108,761
109,762
110,763
111,764
112,766
113,769
114,770
115,770
116,771
117,772
118,773
119,773
120,775
121,775
122,776
123,779
124,779
125,780
126,782
127,782
128,784
129,787
130,787
131,789
132,792
133,792
134,793
135,795
136,796
137,796
138,797
139,797
140,800
141,801
142,802
143,805
144,805
145,806
146,806
147,806
148,809
149,809
150,810
151,810
152,811
153,813
154,815
155,815
156,816
157,816
158,818
159,818
160,819
161,822
162,823
163,823
164,824
165,824
166,824
167,827
168,829
169,829
170,829
171,830
172,831
173,833
174,833
175,836
176,836
177,836
178,837
179,837
180,839
181,842
182,842
183,843
184,843
185,845
186,845
187,845
188,850
189,850
190,850
191,850
192,853
193,853
194,855
195,856
196,857
197,857
198,858
199,860
